timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,25.8,33,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),0.8373,29.5,0.0000,9.9875,0.2779
2048,52.0,32,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),1.1839,30.7,-0.0035,5.7240,0.2578
3072,77.2,31,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),1.2118,31.7,-0.0035,7.8730,0.2911
4096,104.1,27,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),-3.3058,36.1,0.0006,9.7617,0.2922
5120,129.4,39,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),0.5674,25.6,-0.0101,17.3194,0.2842
6144,156.2,47,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),0.6367,21.7,-0.0031,54.7297,0.2921
7168,181.9,42,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),1.2602,24.0,0.0000,21.2786,0.2453
8192,207.5,39,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),1.9947,24.8,-0.0006,13.9445,0.2474
9216,236.3,36,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),1.5554,28.0,0.0025,9.1262,0.2461
10240,263.8,38,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),0.7167,26.5,-0.0032,12.7745,0.2909
11264,289.1,44,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),3.8185,22.1,-0.0027,11.0079,0.2654
12288,314.6,38,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),-2.2996,26.2,-0.0039,31.5970,0.2534
13312,340.3,48,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),2.4361,21.1,0.0074,22.7660,0.2701
14336,366.5,31,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),-3.8205,33.0,-0.0057,36.6593,0.2654
15360,392.5,40,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),2.5802,25.5,-0.0011,10.5310,0.2171
16384,418.8,34,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),2.5061,28.3,-0.0030,4.0663,0.2178
17408,444.2,37,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),1.8845,27.3,0.0012,8.2795,0.2860
18432,469.6,45,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.7746,21.6,-0.0005,2.2949,0.2018
19456,495.5,41,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),0.3801,24.8,-0.0045,23.2373,0.2373
20480,521.0,50,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.9119,19.2,-0.0016,5.1462,0.2281
21504,546.3,48,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),3.1280,21.1,-0.0015,7.1054,0.2486
22528,571.9,49,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),3.9331,20.9,-0.0048,6.5881,0.2469
23552,596.3,49,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.0731,20.9,0.0011,1.7337,0.2082
24576,621.2,50,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.5539,20.4,0.0017,3.1702,0.2147
25600,647.5,52,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.3510,19.5,-0.0044,3.3978,0.2120
26624,673.1,61,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.9703,16.7,-0.0039,2.6628,0.2189
27648,698.2,37,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),2.9538,25.8,0.0046,2.3392,0.1943
28672,724.0,70,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.6620,14.4,-0.0028,2.0027,0.2001
29696,749.3,55,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.4662,18.4,-0.0032,2.4006,0.2009
30720,774.9,51,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.5756,19.7,-0.0049,2.4773,0.1819
31744,800.1,55,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.0789,18.6,-0.0024,2.2079,0.1856
32768,825.0,50,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.2952,20.4,-0.0036,4.5430,0.1958
33792,851.6,41,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),2.7194,24.5,-0.0015,2.0394,0.1858
34816,877.1,48,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),3.7630,21.1,-0.0000,3.1139,0.2040
35840,901.7,52,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.8156,19.4,-0.0041,2.8183,0.1713
36864,930.1,61,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.0649,16.7,-0.0061,1.4209,0.1954
37888,958.3,56,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.5849,17.9,0.0049,1.9383,0.1857
38912,982.4,53,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.2933,19.2,0.0006,1.5675,0.2080
39936,1007.1,53,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.2014,19.0,0.0012,2.3125,0.2133
40960,1032.2,65,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.7713,15.8,-0.0007,2.5492,0.2053
41984,1057.1,40,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),0.6759,25.6,-0.0093,18.5203,0.1974
43008,1082.2,52,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.7989,19.3,0.0059,3.7400,0.2119
44032,1107.6,71,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.5370,14.2,0.0016,3.8418,0.2507
45056,1132.4,42,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),3.8260,23.9,-0.0047,1.5221,0.1981
46080,1157.3,48,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.0024,20.9,0.0004,4.1742,0.2550
47104,1182.3,52,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.3136,18.6,-0.0257,3.0023,0.2111
48128,1207.3,55,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.6654,18.5,0.0007,1.7444,0.2313
49152,1232.7,68,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.5168,14.8,-0.0037,3.1700,0.2649
50176,1260.7,56,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.9938,17.9,-0.0014,1.6075,0.2035
51200,1288.7,62,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.9321,15.4,-0.0058,3.6126,0.2238
52224,1316.4,56,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.8395,18.2,0.0005,2.9757,0.2210
53248,1344.9,70,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.7226,13.9,-0.0004,3.1937,0.2212
54272,1373.0,59,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.5035,16.8,-0.0025,3.2479,0.2002
55296,1400.9,47,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),3.8579,20.8,0.0007,4.2094,0.1808
56320,1429.7,65,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.4262,15.7,-0.0001,1.9862,0.2012
57344,1458.5,54,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.7226,19.0,-0.0014,2.3294,0.1939
58368,1487.3,64,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.3272,15.8,-0.0018,1.6795,0.2043
59392,1514.1,63,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.7310,16.0,-0.0068,4.8495,0.1926
60416,1540.4,55,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.3536,18.3,0.0012,1.8315,0.2005
61440,1566.4,65,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.1888,15.7,0.0015,1.9240,0.2150
62464,1591.8,49,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.8750,20.6,-0.0016,1.4713,0.1987
63488,1617.4,61,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.1016,16.7,-0.0054,1.4417,0.2103
64512,1642.6,44,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),3.3211,23.1,0.0001,2.3031,0.1923
65536,1667.5,60,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.2534,17.0,0.0004,1.9695,0.1930
66560,1692.1,51,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.9215,19.3,-0.0053,3.3762,0.1951
67584,1717.0,60,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.7868,17.1,-0.0016,2.8031,0.2232
68608,1741.8,61,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.9207,16.7,0.0152,1.2180,0.2023
69632,1766.4,55,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.8126,18.6,0.0006,2.0208,0.1900
70656,1791.9,61,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.6268,16.7,-0.0016,1.3979,0.1999
71680,1817.0,68,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.5823,14.5,-0.0031,1.4365,0.2026
72704,1841.4,47,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.2325,20.5,0.0020,1.9660,0.2137
73728,1866.4,57,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.2599,17.9,-0.0108,3.5055,0.2400
74752,1891.5,57,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.1201,18.0,-0.0025,2.9891,0.1959
75776,1916.9,63,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.4222,15.2,0.0011,1.1997,0.2116
76800,1941.8,62,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.7964,16.5,-0.0022,3.6656,0.2246
77824,1968.3,44,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.7332,21.6,-0.0023,2.6447,0.2298
78848,1993.6,54,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.4782,18.9,-0.0090,5.5537,0.2622
79872,2018.5,56,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.1060,18.1,-0.0013,4.6440,0.2072
80896,2043.3,45,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),3.6032,21.4,-0.0004,2.8394,0.1912
81920,2069.4,66,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.2187,15.5,-0.0021,3.8959,0.2339
82944,2094.1,45,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),3.5448,21.8,-0.0002,2.6105,0.2027
83968,2119.7,62,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.8915,16.2,0.0016,1.6680,0.2055
84992,2144.6,39,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),3.0349,26.1,-0.0013,3.1060,0.2098
86016,2169.5,51,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.2662,19.7,-0.0052,2.8568,0.1718
87040,2194.8,71,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.2373,14.4,0.0196,2.4677,0.1957
88064,2220.0,70,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.4465,14.6,-0.0167,2.7460,0.2229
89088,2246.0,58,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.6478,17.3,0.0001,2.3657,0.2313
90112,2271.2,44,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.3303,22.5,-0.0042,3.2635,0.2277
91136,2296.5,54,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.9536,18.7,-0.0058,1.5496,0.1967
92160,2321.8,62,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.6605,16.3,0.0017,2.1862,0.2325
93184,2346.3,40,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),3.0626,25.6,0.0018,1.7931,0.2079
94208,2371.1,66,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.3086,15.2,0.0027,2.3276,0.2220
95232,2396.0,66,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.3216,15.3,-0.0020,2.9657,0.2416
96256,2420.9,64,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.6847,15.9,-0.0025,0.4373,0.2049
97280,2446.1,76,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),6.8893,13.5,0.0009,1.1457,0.2063
98304,2471.9,54,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.2917,18.2,-0.0017,1.6063,0.2085
99328,2497.8,53,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),4.7771,19.3,-0.0177,2.3647,0.2220
100352,2522.9,64,Two-Stage Cascaded Common-Source Amplifier (AC-Coupled),5.7514,15.7,0.0357,2.9133,0.2055
