timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,25.5,18,multi(cs_amp),-48.5296,56.0,0.1940,156.3556,0.7623
2048,50.5,22,multi(cs_amp),-14.8872,45.6,0.0076,57.7321,0.0818
3072,75.2,24,multi(cs_amp),-14.7118,41.5,0.0031,131.4765,0.0575
4096,99.1,20,multi(cs_amp),-34.1666,51.1,0.0078,248.9066,0.0636
5120,123.2,19,multi(cs_amp),-19.0720,51.9,0.0161,64.4035,0.0897
6144,152.2,24,multi(cs_amp),-16.7321,40.0,0.0023,252.5552,0.1019
7168,176.6,29,multi(cs_amp),-8.5945,35.3,0.0015,98.9452,0.0946
8192,200.4,31,multi(cs_amp),-3.9954,32.9,0.0025,55.1026,0.1071
9216,224.1,26,multi(cs_amp),-36.2289,38.9,-0.0001,633.2903,0.0788
10240,247.8,35,multi(cs_amp),-4.5130,29.1,-0.0002,84.1388,0.0928
11264,271.5,28,multi(cs_amp),-8.2408,35.3,0.0048,65.0777,0.1040
12288,295.1,20,multi(cs_amp),-14.6029,49.9,0.0004,36.7431,0.0714
13312,318.7,21,multi(cs_amp),-13.5074,47.6,0.0011,23.0309,0.0682
14336,342.5,31,multi(cs_amp),-8.8233,32.7,0.0040,79.5020,0.0663
15360,366.1,20,multi(cs_amp),-17.1854,50.0,0.0003,42.5399,0.0650
16384,389.7,24,multi(cs_amp),-18.1197,42.2,0.0007,165.0885,0.0916
17408,413.3,22,multi(cs_amp),-9.1085,43.6,-0.0007,33.9253,0.0334
18432,436.9,25,multi(cs_amp),-14.3259,39.6,-0.0006,154.4796,0.0414
19456,460.5,20,multi(cs_amp),-18.8857,48.0,0.0038,57.0537,0.0895
20480,484.9,22,multi(cs_amp),-46.9793,46.4,-0.0011,588.5490,0.0433
21504,508.5,21,multi(cs_amp),-28.3274,46.4,0.0006,237.6231,0.0585
22528,531.9,17,multi(cs_amp),-24.9067,60.2,-0.0014,59.9599,0.0503
23552,555.5,22,multi(cs_amp),-11.6700,43.2,0.0008,40.5899,0.0622
24576,579.3,26,multi(cs_amp),-22.1291,38.6,-0.0040,215.2995,0.0466
25600,603.2,18,multi(cs_amp),-33.6732,54.9,-0.0011,164.2336,0.0546
26624,627.0,24,multi(cs_amp),-32.6925,42.5,0.0012,383.5030,0.0632
27648,650.7,20,multi(cs_amp),-30.2792,50.9,0.0017,184.1316,0.0491
28672,674.6,24,multi(cs_amp),-12.2649,41.0,0.0051,66.5728,0.0525
29696,698.4,26,multi(cs_amp),-23.4354,38.8,0.0009,343.2848,0.0390
30720,722.5,29,multi(cs_amp),-7.0046,33.9,-0.0014,72.3951,0.0359
31744,746.8,22,multi(cs_amp),-15.3455,44.3,-0.0005,85.3134,0.0340
32768,771.0,20,multi(cs_amp),-16.0272,50.2,-0.0004,34.2497,0.0358
33792,795.2,24,multi(cs_amp),-11.9132,42.6,-0.0031,24.2056,0.0282
34816,818.9,24,multi(cs_amp),-10.4125,41.6,0.0011,20.2089,0.0246
35840,842.6,26,multi(cs_amp),-9.1257,38.4,0.0035,18.3852,0.0282
36864,866.7,21,multi(cs_amp),-21.8930,46.3,0.0001,101.1873,0.0254
37888,890.7,23,multi(cs_amp),-34.0885,43.5,-0.0010,464.1992,0.0448
38912,914.5,24,multi(cs_amp),-25.0844,42.4,0.0001,188.9906,0.0230
39936,938.2,24,multi(cs_amp),-10.9908,41.0,0.0031,32.0273,0.0339
40960,961.9,20,multi(cs_amp),-17.5353,49.5,-0.0004,50.6956,0.0334
41984,985.0,22,multi(cs_amp),-19.1345,46.4,-0.0026,58.0376,0.0342
43008,1008.6,24,multi(cs_amp),-18.8799,42.1,0.0005,162.1265,0.0618
44032,1032.3,25,multi(cs_amp),-18.8453,39.3,0.0019,185.0742,0.0373
45056,1056.1,29,multi(cs_amp),-7.9821,35.3,0.0026,68.1576,0.0408
46080,1079.8,24,multi(cs_amp),-25.1224,41.9,0.0009,292.1864,0.0736
47104,1153.3,19,multi(cs_amp),-18.1804,53.5,0.0180,36.4715,0.0240
48128,1180.3,22,multi(cs_amp),-27.4151,45.4,-0.0004,145.5736,0.0053
49152,1233.0,22,multi(cs_amp),-17.6672,45.6,-0.0013,83.3309,0.0313
50176,1256.4,23,multi(cs_amp),-16.1161,44.0,-0.0007,116.9921,0.0134
