timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,13.6,32,Common-Source Amplifier,0.5218,10.6,-0.0428,-1.0000,1.0875
2048,27.1,39,Common-Source Amplifier,2.5219,8.7,-0.0528,-1.0000,1.0697
3072,40.9,38,Common-Source Amplifier,2.5431,8.6,-0.0559,-1.0000,1.0513
4096,54.3,28,Common-Source Amplifier,-0.0860,12.1,-0.0361,-1.0000,1.0207
5120,67.9,36,Common-Source Amplifier,3.0140,9.4,-0.0387,-1.0000,0.9858
6144,81.5,33,Common-Source Amplifier,1.8349,9.9,-0.0281,-1.0000,0.9098
7168,94.2,32,Common-Source Amplifier,2.2850,10.5,-0.0226,-1.0000,0.9198
8192,106.3,27,Common-Source Amplifier,0.3449,12.1,-0.0234,-1.0000,0.8847
9216,118.8,23,Common-Source Amplifier,-1.2100,14.3,-0.0193,-1.0000,0.8181
10240,131.5,34,Common-Source Amplifier,3.7139,9.7,-0.0148,-1.0000,0.7972
11264,144.1,26,Common-Source Amplifier,0.1714,12.8,-0.0084,-1.0000,0.7974
12288,157.3,43,Common-Source Amplifier,3.7412,7.9,-0.0064,-1.0000,0.7836
13312,169.7,31,Common-Source Amplifier,2.0501,10.8,-0.0108,-1.0000,0.7593
14336,183.2,34,Common-Source Amplifier,3.6332,10.0,-0.0113,-1.0000,0.7521
15360,196.9,37,Common-Source Amplifier,3.4868,9.2,-0.0094,-1.0000,0.7305
16384,210.8,44,Common-Source Amplifier,4.6798,7.6,-0.0155,-1.0000,0.7235
17408,224.5,34,Common-Source Amplifier,3.2344,9.7,-0.0121,-1.0000,0.7014
18432,238.3,41,Common-Source Amplifier,3.9974,8.2,-0.0083,-1.0000,0.7158
19456,251.9,31,Common-Source Amplifier,3.0041,10.5,-0.0094,-1.0000,0.6807
20480,265.7,45,Common-Source Amplifier,4.8431,7.5,-0.0094,-1.0000,0.6461
21504,279.7,44,Common-Source Amplifier,5.1248,7.8,-0.0100,-1.0000,0.6318
22528,293.6,37,Common-Source Amplifier,4.1046,9.0,-0.0007,-1.0000,0.6339
23552,307.3,38,Common-Source Amplifier,4.2085,8.9,-0.0041,-1.0000,0.6157
24576,320.9,40,Common-Source Amplifier,4.1700,8.5,-0.0050,-1.0000,0.6503
25600,334.5,41,Common-Source Amplifier,4.5919,8.0,-0.0082,-1.0000,0.6154
26624,348.9,42,Common-Source Amplifier,4.9248,8.1,-0.0094,-1.0000,0.6140
27648,363.2,38,Common-Source Amplifier,4.7050,8.6,-0.0084,-1.0000,0.6180
28672,377.1,36,Common-Source Amplifier,3.7471,9.5,-0.0127,-1.0000,0.6020
29696,391.0,39,Common-Source Amplifier,4.3297,8.6,-0.0065,-1.0000,0.6277
30720,405.1,35,Common-Source Amplifier,3.7582,9.6,-0.0118,-1.0000,0.6128
31744,419.1,40,Common-Source Amplifier,4.0889,8.3,-0.0119,-1.0000,0.6136
32768,433.2,46,Common-Source Amplifier,4.6751,7.3,-0.0085,-1.0000,0.6252
33792,448.1,37,Common-Source Amplifier,4.2405,9.1,-0.0180,-1.0000,0.6465
34816,464.6,33,Common-Source Amplifier,3.3374,10.1,-0.0133,-1.0000,0.6290
35840,482.2,39,Common-Source Amplifier,3.9130,8.6,-0.0065,-1.0000,0.6293
36864,501.4,38,Common-Source Amplifier,4.1753,8.7,-0.0076,-1.0000,0.6039
37888,521.6,30,Common-Source Amplifier,2.0293,11.4,-0.0089,-1.0000,0.5685
38912,544.2,37,Common-Source Amplifier,4.0763,8.9,-0.0143,-1.0000,0.5803
39936,567.4,43,Common-Source Amplifier,4.4205,7.6,-0.0077,-1.0000,0.5944
40960,588.9,38,Common-Source Amplifier,4.1956,8.7,-0.0054,-1.0000,0.5825
41984,609.6,37,Common-Source Amplifier,3.7037,8.8,-0.0102,-1.0000,0.5645
43008,631.1,36,Common-Source Amplifier,4.0177,9.5,-0.0061,-1.0000,0.5542
44032,650.5,38,Common-Source Amplifier,3.7919,8.7,-0.0119,-1.0000,0.5771
45056,669.5,38,Common-Source Amplifier,4.3360,8.8,-0.0109,-1.0000,0.5848
46080,688.8,36,Common-Source Amplifier,3.4147,9.2,-0.0130,-1.0000,0.5492
47104,1492.6,35,Common-Source Amplifier,2.8873,9.7,-0.0073,-1.0000,0.5933
48128,1515.6,40,Common-Source Amplifier,4.6136,8.3,-0.0064,-1.0000,0.5833
49152,1534.1,41,Common-Source Amplifier,4.7968,8.1,-0.0111,-1.0000,0.5532
50176,1552.3,39,Common-Source Amplifier,4.0753,8.5,-0.0120,-1.0000,0.5388
51200,1570.7,43,Common-Source Amplifier,4.4746,7.6,-0.0090,-1.0000,0.5432
52224,1589.2,45,Common-Source Amplifier,5.0717,7.4,-0.0133,-1.0000,0.5583
53248,1607.7,51,Common-Source Amplifier,5.9584,6.7,-0.0115,-1.0000,0.5473
54272,1626.3,35,Common-Source Amplifier,2.7547,9.4,-0.0101,-1.0000,0.5187
55296,1645.0,46,Common-Source Amplifier,4.3848,7.4,-0.0079,-1.0000,0.5374
56320,1663.6,41,Common-Source Amplifier,3.8090,8.3,-0.0075,-1.0000,0.5715
57344,1679.5,30,Common-Source Amplifier,3.0410,11.0,-0.0058,-1.0000,0.5660
58368,1693.4,30,Common-Source Amplifier,3.0888,11.0,-0.0106,-1.0000,0.5630
59392,1707.4,34,Common-Source Amplifier,3.8523,9.9,-0.0090,-1.0000,0.5650
60416,1721.3,33,Common-Source Amplifier,3.0629,10.2,-0.0096,-1.0000,0.5360
61440,1735.3,40,Common-Source Amplifier,3.8903,8.5,-0.0090,-1.0000,0.5121
62464,1749.4,38,Common-Source Amplifier,3.5304,9.0,-0.0035,-1.0000,0.5471
63488,1763.4,37,Common-Source Amplifier,3.8788,9.1,-0.0124,-1.0000,0.5411
64512,1777.3,41,Common-Source Amplifier,4.6407,8.3,-0.0105,-1.0000,0.4985
65536,1791.5,40,Common-Source Amplifier,5.1437,8.4,-0.0107,-1.0000,0.5405
66560,1805.5,43,Common-Source Amplifier,5.1936,7.8,-0.0137,-1.0000,0.4692
67584,1819.5,36,Common-Source Amplifier,4.7638,9.2,-0.0087,-1.0000,0.4799
68608,1833.6,44,Common-Source Amplifier,4.5275,7.8,-0.0067,-1.0000,0.4936
69632,1847.6,42,Common-Source Amplifier,4.6011,7.8,-0.0095,-1.0000,0.4458
70656,1861.6,35,Common-Source Amplifier,3.3152,9.6,-0.0113,-1.0000,0.4855
71680,1875.7,41,Common-Source Amplifier,4.7728,8.2,-0.0134,-1.0000,0.5041
72704,1889.7,45,Common-Source Amplifier,5.0473,7.6,-0.0080,-1.0000,0.5101
73728,1903.7,36,Common-Source Amplifier,3.9062,9.4,-0.0098,-1.0000,0.5272
74752,1917.6,33,Common-Source Amplifier,3.6945,10.3,-0.0104,-1.0000,0.5232
75776,1931.8,37,Common-Source Amplifier,3.9349,9.2,-0.0077,-1.0000,0.5240
76800,1945.8,34,Common-Source Amplifier,3.5745,9.9,-0.0098,-1.0000,0.5051
77824,1960.0,40,Common-Source Amplifier,4.7482,8.5,-0.0080,-1.0000,0.4739
78848,1974.2,45,Common-Source Amplifier,4.4368,7.6,-0.0058,-1.0000,0.4738
79872,1988.2,44,Common-Source Amplifier,4.6316,7.7,-0.0127,-1.0000,0.5046
80896,2002.2,30,Common-Source Amplifier,2.3692,11.3,-0.0074,-1.0000,0.5088
81920,2016.2,42,Common-Source Amplifier,4.6210,8.1,-0.0076,-1.0000,0.4736
82944,2030.4,42,Common-Source Amplifier,4.5685,7.7,-0.0123,-1.0000,0.5093
83968,2044.5,47,Common-Source Amplifier,5.0999,7.0,-0.0085,-1.0000,0.4732
84992,2058.5,35,Common-Source Amplifier,4.3656,9.7,-0.0038,-1.0000,0.4995
86016,2072.4,36,Common-Source Amplifier,4.8497,9.1,-0.0098,-1.0000,0.4567
87040,2086.6,44,Common-Source Amplifier,4.7934,7.5,-0.0145,-1.0000,0.4717
88064,2100.8,44,Common-Source Amplifier,5.3700,7.5,-0.0111,-1.0000,0.4840
89088,2114.8,45,Common-Source Amplifier,5.3410,7.6,-0.0125,-1.0000,0.4822
90112,2129.0,37,Common-Source Amplifier,3.6590,8.8,-0.0165,-1.0000,0.4278
91136,3042.1,36,Common-Source Amplifier,3.2336,9.4,-0.0054,-1.0000,0.4726
92160,3057.6,33,Common-Source Amplifier,2.7765,10.0,-0.0098,-1.0000,0.4485
93184,3072.4,47,Common-Source Amplifier,5.2870,7.2,-0.0091,-1.0000,0.4364
94208,3086.8,28,Common-Source Amplifier,2.0897,11.8,-0.0067,-1.0000,0.4678
95232,3481.0,39,Common-Source Amplifier,3.8644,8.7,-0.0112,-1.0000,0.4113
96256,3496.2,42,Common-Source Amplifier,4.1520,8.0,-0.0072,-1.0000,0.4733
97280,3510.0,40,Common-Source Amplifier,4.6967,8.2,-0.0050,-1.0000,0.4919
98304,3523.7,35,Common-Source Amplifier,3.4787,9.4,-0.0122,-1.0000,0.4511
99328,3537.3,46,Common-Source Amplifier,5.9652,7.3,-0.0174,-1.0000,0.4857
100352,3551.0,29,Common-Source Amplifier,2.0087,11.4,-0.0077,-1.0000,0.5207
