timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,13.7,12,Two-Stage Op-Amp Configuration,-33.9058,25.9,-0.0590,-1.0000,1.0921
2048,27.9,26,Two-Stage Op-Amp Configuration,-2.6470,12.3,-0.0536,-1.0000,1.0871
3072,41.9,17,Two-Stage Op-Amp Configuration,-7.7238,18.8,-0.0484,-1.0000,1.0803
4096,55.9,39,Two-Stage Op-Amp Configuration,-0.1097,8.3,-0.0411,-1.0000,1.0653
5120,70.0,30,Two-Stage Op-Amp Configuration,-0.3077,10.6,-0.0399,-1.0000,1.0566
6144,84.0,31,Two-Stage Op-Amp Configuration,0.4859,10.6,-0.0342,-1.0000,1.0452
7168,98.1,33,Two-Stage Op-Amp Configuration,-14.9938,9.5,-0.0393,-1.0000,1.0350
8192,112.1,36,Two-Stage Op-Amp Configuration,2.6886,8.8,-0.0329,-1.0000,1.0261
9216,126.3,44,Two-Stage Op-Amp Configuration,-5.7313,7.7,-0.0361,-1.0000,1.0178
10240,140.4,45,Two-Stage Op-Amp Configuration,3.8988,7.4,-0.0265,-1.0000,1.0019
11264,154.5,31,Two-Stage Op-Amp Configuration,1.4123,10.4,-0.0329,-1.0000,0.9879
12288,168.7,50,Two-Stage Op-Amp Configuration,3.5282,6.6,-0.0220,-1.0000,0.9786
13312,183.1,54,Two-Stage Op-Amp Configuration,2.4543,5.9,-0.0281,-1.0000,0.9746
14336,198.3,65,Two-Stage Op-Amp Configuration,1.8741,5.2,-0.0241,-1.0000,0.9571
15360,213.6,54,Two-Stage Op-Amp Configuration,5.9138,6.3,-0.0265,-1.0000,0.9409
16384,228.5,58,Two-Stage Op-Amp Configuration,5.3537,5.8,-0.0182,-1.0000,0.9431
17408,242.9,56,Two-Stage Op-Amp Configuration,1.2539,6.1,-0.0214,-1.0000,0.9304
18432,257.0,53,Two-Stage Op-Amp Configuration,2.9385,6.3,-0.0177,-1.0000,0.9277
19456,271.3,73,Two-Stage Op-Amp Configuration,5.1519,4.4,-0.0206,-1.0000,0.9432
20480,285.7,59,Two-Stage Op-Amp Configuration,4.1681,5.7,-0.0245,-1.0000,0.9203
21504,300.1,66,Two-Stage Op-Amp Configuration,5.5711,5.2,-0.0254,-1.0000,0.8983
22528,314.4,58,Two-Stage Op-Amp Configuration,3.1977,5.8,-0.0206,-1.0000,0.8907
23552,328.8,59,Two-Stage Op-Amp Configuration,0.0942,5.6,-0.0136,-1.0000,0.8914
24576,343.5,64,Two-Stage Op-Amp Configuration,6.3479,5.3,-0.0189,-1.0000,0.8653
25600,358.2,76,Two-Stage Op-Amp Configuration,6.2647,4.5,-0.0205,-1.0000,0.8789
26624,372.4,60,Two-Stage Op-Amp Configuration,4.8758,5.3,-0.0206,-1.0000,0.8661
27648,386.9,58,Two-Stage Op-Amp Configuration,3.5344,5.8,-0.0157,-1.0000,0.8625
28672,400.9,76,Two-Stage Op-Amp Configuration,4.7316,4.5,-0.0178,-1.0000,0.8590
29696,415.8,72,Two-Stage Op-Amp Configuration,3.9726,4.7,-0.0145,-1.0000,0.8518
30720,430.2,69,Two-Stage Op-Amp Configuration,5.4027,4.9,-0.0184,-1.0000,0.8518
31744,444.5,91,Two-Stage Op-Amp Configuration,6.0358,3.7,-0.0165,-1.0000,0.8387
32768,459.3,79,Two-Stage Op-Amp Configuration,6.4077,4.2,-0.0175,-1.0000,0.8461
33792,474.0,80,Two-Stage Op-Amp Configuration,6.0961,4.2,-0.0153,-1.0000,0.8318
34816,488.5,83,Two-Stage Op-Amp Configuration,5.4940,4.1,-0.0112,-1.0000,0.8342
35840,502.9,81,Two-Stage Op-Amp Configuration,6.0267,4.2,-0.0175,-1.0000,0.8359
36864,517.3,75,Two-Stage Op-Amp Configuration,3.9222,4.5,-0.0192,-1.0000,0.8292
37888,531.8,73,Two-Stage Op-Amp Configuration,4.3187,4.6,-0.0177,-1.0000,0.8420
38912,546.2,76,Two-Stage Op-Amp Configuration,6.1801,4.4,-0.0170,-1.0000,0.8164
39936,560.1,66,Two-Stage Op-Amp Configuration,4.5308,5.2,-0.0215,-1.0000,0.8057
40960,574.1,81,Two-Stage Op-Amp Configuration,4.2310,4.2,-0.0192,-1.0000,0.7998
41984,587.9,68,Two-Stage Op-Amp Configuration,5.8320,4.9,-0.0173,-1.0000,0.7868
43008,601.9,75,Two-Stage Op-Amp Configuration,5.7222,4.5,-0.0154,-1.0000,0.7967
44032,615.6,63,Two-Stage Op-Amp Configuration,3.6480,5.4,-0.0200,-1.0000,0.7876
45056,629.6,74,Two-Stage Op-Amp Configuration,6.2189,4.6,-0.0190,-1.0000,0.7719
46080,643.5,73,Two-Stage Op-Amp Configuration,4.7856,4.6,-0.0135,-1.0000,0.7938
47104,657.3,76,Two-Stage Op-Amp Configuration,3.6840,4.4,-0.0195,-1.0000,0.7971
48128,671.0,58,Two-Stage Op-Amp Configuration,2.2849,5.5,-0.0177,-1.0000,0.7984
49152,684.7,65,Two-Stage Op-Amp Configuration,5.5729,5.1,-0.0136,-1.0000,0.7595
50176,698.7,84,Two-Stage Op-Amp Configuration,6.1311,4.0,-0.0124,-1.0000,0.7833
51200,712.7,74,Two-Stage Op-Amp Configuration,4.6740,4.5,-0.0181,-1.0000,0.7834
52224,726.6,78,Two-Stage Op-Amp Configuration,5.4555,4.4,-0.0137,-1.0000,0.7725
53248,740.6,82,Two-Stage Op-Amp Configuration,4.5538,4.2,-0.0123,-1.0000,0.7804
54272,754.9,93,Two-Stage Op-Amp Configuration,6.7813,3.6,-0.0171,-1.0000,0.7577
55296,768.7,74,Two-Stage Op-Amp Configuration,3.0816,4.6,-0.0117,-1.0000,0.7732
56320,783.0,79,Two-Stage Op-Amp Configuration,5.2100,4.2,-0.0161,-1.0000,0.7714
57344,797.6,69,Two-Stage Op-Amp Configuration,3.9303,4.9,-0.0146,-1.0000,0.7586
58368,811.8,85,Two-Stage Op-Amp Configuration,5.4531,3.9,-0.0155,-1.0000,0.7609
59392,826.4,75,Two-Stage Op-Amp Configuration,4.4188,4.4,-0.0154,-1.0000,0.7506
60416,840.7,72,Two-Stage Op-Amp Configuration,2.9677,4.7,-0.0154,-1.0000,0.7762
61440,855.4,81,Two-Stage Op-Amp Configuration,4.9060,4.2,-0.0133,-1.0000,0.7699
62464,869.7,59,Two-Stage Op-Amp Configuration,3.6829,5.8,-0.0173,-1.0000,0.7228
63488,885.0,74,Two-Stage Op-Amp Configuration,5.6318,4.5,-0.0186,-1.0000,0.7457
64512,899.6,75,Two-Stage Op-Amp Configuration,6.3985,4.4,-0.0174,-1.0000,0.7196
65536,914.1,82,Two-Stage Op-Amp Configuration,6.3842,4.1,-0.0154,-1.0000,0.7423
66560,928.3,72,Two-Stage Op-Amp Configuration,4.5975,4.7,-0.0204,-1.0000,0.7278
67584,942.9,85,Two-Stage Op-Amp Configuration,5.9080,4.0,-0.0170,-1.0000,0.7427
68608,957.1,81,Two-Stage Op-Amp Configuration,5.6997,4.2,-0.0129,-1.0000,0.7142
69632,971.1,67,Two-Stage Op-Amp Configuration,3.8970,5.0,-0.0190,-1.0000,0.7461
70656,985.1,68,Two-Stage Op-Amp Configuration,6.5849,4.9,-0.0184,-1.0000,0.7121
71680,999.1,69,Two-Stage Op-Amp Configuration,4.9582,4.9,-0.0171,-1.0000,0.7278
72704,1013.3,78,Two-Stage Op-Amp Configuration,6.3116,4.3,-0.0169,-1.0000,0.7108
73728,1027.5,76,Two-Stage Op-Amp Configuration,5.6865,4.4,-0.0174,-1.0000,0.7089
74752,1041.7,81,Two-Stage Op-Amp Configuration,5.5351,4.2,-0.0137,-1.0000,0.7248
75776,1056.0,84,Two-Stage Op-Amp Configuration,6.7820,4.0,-0.0221,-1.0000,0.7119
76800,1070.1,79,Two-Stage Op-Amp Configuration,5.9668,4.2,-0.0086,-1.0000,0.7063
