timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,29.7,34,Common-Source Amplifier,-4.3808,29.1,-0.0000,9.3255,1.0875
2048,59.4,23,Common-Source Amplifier,-11.4008,43.8,-0.0065,7.1360,1.0812
3072,86.5,37,Common-Source Amplifier,-3.3312,26.7,-0.0026,9.7155,1.0680
4096,113.2,32,Common-Source Amplifier,-3.9647,31.3,-0.0040,8.1227,1.0704
5120,140.0,30,Common-Source Amplifier,-6.3076,33.5,-0.0040,8.8633,1.0758
6144,166.5,28,Common-Source Amplifier,-7.0950,36.2,-0.0039,10.9037,1.0879
7168,194.5,35,Common-Source Amplifier,-3.6701,28.2,-0.0021,9.9565,1.0947
8192,220.5,38,Common-Source Amplifier,-2.5766,26.8,-0.0026,9.7337,1.0821
9216,246.7,31,Common-Source Amplifier,-4.9849,31.7,-0.0049,9.0329,1.0825
10240,272.9,33,Common-Source Amplifier,-5.0689,30.7,-0.0008,11.1370,1.0677
11264,298.2,34,Common-Source Amplifier,-4.4579,29.9,-0.0059,10.2493,1.0183
12288,324.3,36,Common-Source Amplifier,-3.4828,28.2,-0.0049,9.8386,0.9833
13312,348.3,33,Common-Source Amplifier,-3.5582,30.0,-0.0011,10.7875,0.9956
14336,371.5,31,Common-Source Amplifier,-5.1551,32.9,-0.0110,8.4666,1.0399
15360,394.9,33,Common-Source Amplifier,-4.1714,29.8,-0.0035,10.5308,1.0308
16384,418.3,33,Common-Source Amplifier,-4.0857,30.2,-0.0015,11.0630,1.0495
17408,441.5,27,Common-Source Amplifier,-7.7171,36.7,-0.0033,10.2662,1.0545
18432,465.0,27,Common-Source Amplifier,-8.5077,37.4,-0.0081,10.5802,1.0558
19456,488.2,29,Common-Source Amplifier,-6.7708,34.7,-0.0018,10.9510,1.0441
20480,511.7,34,Common-Source Amplifier,-3.8891,29.6,-0.0055,11.3893,1.0404
21504,535.3,32,Common-Source Amplifier,-6.4005,31.6,-0.0011,11.4866,1.0141
22528,558.6,27,Common-Source Amplifier,-8.7001,37.3,-0.0017,10.5946,1.0121
23552,582.1,35,Common-Source Amplifier,-4.4395,28.9,-0.0064,12.4748,1.0346
24576,605.3,30,Common-Source Amplifier,-4.1909,32.8,-0.0032,9.4358,1.0332
25600,628.7,33,Common-Source Amplifier,-5.0640,30.2,-0.0042,11.2244,1.0255
26624,656.8,33,Common-Source Amplifier,-3.6296,29.6,-0.0049,11.9041,1.0143
27648,680.1,33,Common-Source Amplifier,-6.2274,30.8,-0.0043,12.6339,1.0035
28672,703.4,34,Common-Source Amplifier,-3.3410,29.1,-0.0010,10.9554,1.0020
29696,726.4,37,Common-Source Amplifier,-3.1983,27.0,-0.0024,9.5582,0.9767
30720,749.3,27,Common-Source Amplifier,-8.6417,37.8,-0.0004,9.9913,0.9931
31744,772.3,31,Common-Source Amplifier,-4.0048,31.5,-0.0010,12.8231,0.9834
32768,795.4,39,Common-Source Amplifier,-3.3193,26.2,-0.0016,12.6880,0.9303
33792,818.5,30,Common-Source Amplifier,-6.3908,33.1,-0.0009,10.5727,0.9324
34816,841.4,26,Common-Source Amplifier,-7.0203,39.0,-0.0019,9.0230,0.9747
35840,864.5,27,Common-Source Amplifier,-8.6535,36.2,-0.0012,11.2688,0.9710
36864,887.5,36,Common-Source Amplifier,-3.8365,28.2,-0.0075,9.9327,0.9114
37888,910.5,37,Common-Source Amplifier,-1.9203,27.6,-0.0037,9.6124,0.8662
38912,933.3,30,Common-Source Amplifier,-7.3489,34.0,-0.0016,5.5383,0.7852
39936,956.7,29,Common-Source Amplifier,-7.4044,34.6,-0.0019,6.8684,0.7756
40960,979.1,29,Common-Source Amplifier,-8.0340,35.1,-0.0022,5.2386,0.7217
41984,1001.6,28,Common-Source Amplifier,-7.7321,36.4,-0.0048,7.3738,0.6672
43008,1023.9,24,Common-Source Amplifier,-10.6463,41.6,-0.0037,3.9325,0.5561
44032,1046.4,37,Common-Source Amplifier,-2.1464,27.1,-0.0033,4.7605,0.5633
45056,1068.8,27,Common-Source Amplifier,-7.0851,36.4,-0.0073,3.2005,0.5126
46080,1092.9,32,Common-Source Amplifier,-5.3959,32.0,-0.0001,3.7299,0.3913
47104,1115.5,31,Common-Source Amplifier,-5.5554,33.0,-0.0056,2.6604,0.4246
48128,1138.3,35,Common-Source Amplifier,-3.7242,28.3,-0.0061,2.0011,0.2964
49152,1161.1,31,Common-Source Amplifier,-5.5177,32.4,-0.0034,2.0586,0.3514
50176,1183.5,34,Common-Source Amplifier,-3.0347,29.6,-0.0009,3.4255,0.4109
51200,1205.7,26,Common-Source Amplifier,-7.1169,38.1,0.0060,2.0718,0.3376
52224,1228.1,31,Common-Source Amplifier,-4.8568,31.9,-0.0016,1.9258,0.2735
53248,1250.7,37,Common-Source Amplifier,-2.8246,27.0,-0.0015,3.6000,0.3397
54272,1273.6,28,Common-Source Amplifier,-6.5875,36.0,-0.0029,1.2432,0.2767
55296,1296.0,32,Common-Source Amplifier,-4.3127,31.9,-0.0070,3.2952,0.2992
56320,1319.0,30,Common-Source Amplifier,-4.6035,33.4,0.0023,2.9535,0.3067
57344,1342.3,30,Common-Source Amplifier,-5.1555,33.4,0.0008,4.3644,0.3962
58368,1364.9,34,Common-Source Amplifier,-3.1405,29.9,-0.0015,1.9885,0.2221
59392,1387.4,40,Common-Source Amplifier,-1.5624,25.5,-0.0003,1.7523,0.2315
60416,1409.7,30,Common-Source Amplifier,-4.7231,32.5,0.0169,3.9253,0.3636
61440,1432.7,32,Common-Source Amplifier,-3.3878,30.5,-0.0059,2.0614,0.2886
62464,1456.5,24,Common-Source Amplifier,-9.6768,41.8,0.0004,3.3192,0.3356
63488,1480.3,26,Common-Source Amplifier,-8.3094,38.8,0.0006,0.9420,0.2056
64512,1502.7,32,Common-Source Amplifier,-5.0896,30.5,-0.0037,3.4765,0.2858
65536,1525.0,36,Common-Source Amplifier,-2.7889,27.3,-0.0034,2.3735,0.2282
66560,1547.9,36,Common-Source Amplifier,-2.4136,28.4,-0.0028,2.5571,0.2313
67584,1571.0,28,Common-Source Amplifier,-5.4642,35.4,-0.0020,1.3735,0.2421
68608,1594.1,33,Common-Source Amplifier,-4.1353,30.5,-0.0074,3.3999,0.3459
69632,1616.9,31,Common-Source Amplifier,-5.2522,32.8,-0.0034,0.8990,0.1999
70656,1644.9,31,Common-Source Amplifier,-4.6283,32.3,-0.0022,2.0644,0.2753
