timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,28.8,31,Common-Source Amplifier,-7.6104,33.0,-0.0072,12.9540,1.5991
2048,57.4,32,Common-Source Amplifier,-4.6245,30.9,-0.0168,12.0288,1.5974
3072,84.9,39,Common-Source Amplifier,-2.4592,25.3,-0.0170,16.4898,1.5836
4096,111.8,50,Common-Source Amplifier,-0.5715,20.1,-0.0143,29.6714,1.5798
5120,139.2,36,Common-Source Amplifier,-4.3296,28.0,-0.0147,32.0457,1.5803
6144,165.9,37,Common-Source Amplifier,-7.7636,26.6,-0.0115,63.6607,1.5781
7168,193.4,44,Common-Source Amplifier,-0.9281,22.6,-0.0110,36.3034,1.5678
8192,219.7,43,Common-Source Amplifier,-2.5149,23.5,-0.0157,30.4131,1.5640
9216,244.4,38,Common-Source Amplifier,-2.4663,26.0,-0.0130,25.0202,1.5580
10240,269.2,47,Common-Source Amplifier,-2.1088,21.3,-0.0166,85.0423,1.5435
11264,294.9,58,Common-Source Amplifier,2.7202,17.5,-0.0054,25.8387,1.5413
12288,320.1,58,Common-Source Amplifier,0.5645,17.6,-0.0124,42.7198,1.5406
13312,347.5,44,Common-Source Amplifier,-2.0633,23.0,-0.0139,59.1631,1.5284
14336,374.2,51,Common-Source Amplifier,0.2246,19.3,-0.0064,35.4605,1.5080
15360,399.2,45,Common-Source Amplifier,-0.8541,21.7,-0.0124,49.6388,1.5074
16384,424.8,54,Common-Source Amplifier,0.9768,18.8,-0.0123,35.2594,1.4931
17408,451.3,49,Common-Source Amplifier,1.5766,19.9,-0.0075,17.8831,1.4843
18432,478.1,52,Common-Source Amplifier,2.5835,19.0,-0.0102,16.4547,1.4808
19456,504.4,44,Common-Source Amplifier,-4.9829,23.2,0.0022,63.5724,1.4916
20480,531.1,46,Common-Source Amplifier,0.7805,22.2,0.0021,15.9226,1.4691
21504,557.6,44,Common-Source Amplifier,-5.2208,23.2,-0.0029,97.4619,1.4633
22528,584.4,47,Common-Source Amplifier,1.5534,20.8,-0.0001,24.3073,1.4710
23552,610.7,51,Common-Source Amplifier,0.9361,20.0,-0.0089,28.3170,1.4692
24576,636.9,45,Common-Source Amplifier,-1.4349,21.8,-0.0069,40.6393,1.4683
25600,664.4,65,Common-Source Amplifier,3.0053,15.6,-0.0051,52.8764,1.4515
26624,691.7,76,Common-Source Amplifier,5.4323,12.9,-0.0125,16.2934,1.4570
27648,719.1,66,Common-Source Amplifier,3.3108,15.2,-0.0118,16.4837,1.4449
28672,746.0,67,Common-Source Amplifier,3.0386,15.1,-0.0177,31.9392,1.4199
29696,772.9,76,Common-Source Amplifier,4.6722,13.4,-0.0095,17.0089,1.4121
30720,800.2,68,Common-Source Amplifier,4.3783,14.9,0.0032,10.4514,1.4039
31744,828.0,70,Common-Source Amplifier,1.9993,14.6,-0.0123,50.1690,1.3884
32768,853.6,69,Common-Source Amplifier,3.5881,14.7,-0.0048,17.2859,1.3939
33792,880.3,79,Common-Source Amplifier,5.7894,12.8,0.0017,9.7451,1.3892
34816,909.2,61,Common-Source Amplifier,3.7694,16.4,-0.0107,7.6526,1.3935
35840,935.8,80,Common-Source Amplifier,4.9507,12.8,0.0140,21.2832,1.3457
36864,961.4,73,Common-Source Amplifier,5.3531,13.8,-0.0062,8.0851,1.3704
37888,987.2,93,Common-Source Amplifier,6.6075,10.9,-0.0095,6.8437,1.3242
38912,1012.4,58,Common-Source Amplifier,2.7477,17.2,0.0006,9.7093,1.3304
39936,1037.9,75,Common-Source Amplifier,5.2983,13.6,-0.0116,10.0184,1.3172
40960,1063.8,81,Common-Source Amplifier,6.3051,12.4,-0.0106,12.3466,1.3267
41984,1088.0,66,Common-Source Amplifier,2.2881,15.4,0.0130,20.2019,1.2792
43008,1112.2,97,Common-Source Amplifier,6.9419,10.3,-0.0073,9.1356,1.3208
44032,1137.0,91,Common-Source Amplifier,6.7729,11.0,-0.0106,4.5066,1.3143
45056,1162.1,111,Common-Source Amplifier,6.4334,9.1,-0.0093,26.9089,1.2858
46080,1186.0,87,Common-Source Amplifier,5.8632,11.7,-0.0164,16.5062,1.3090
47104,1210.2,79,Common-Source Amplifier,6.3179,12.4,-0.0107,8.0081,1.2945
48128,1234.3,91,Common-Source Amplifier,6.0022,11.1,-0.0032,16.6768,1.2812
49152,1258.3,85,Common-Source Amplifier,6.2525,11.5,-0.0098,13.6878,1.2704
50176,1282.3,84,Common-Source Amplifier,6.7174,12.1,-0.0064,8.1801,1.2630
51200,1306.3,95,Common-Source Amplifier,7.3717,10.7,-0.0115,5.1187,1.2683
52224,1331.0,114,Common-Source Amplifier,7.4646,9.0,-0.0159,6.2159,1.2165
53248,1355.6,118,Common-Source Amplifier,7.3297,8.4,-0.0101,13.0145,1.1932
54272,1380.0,107,Common-Source Amplifier,7.0531,9.1,-0.0220,12.3558,1.1996
55296,1404.7,117,Common-Source Amplifier,7.5746,8.6,0.0001,5.8534,1.1612
56320,1429.1,111,Common-Source Amplifier,7.5937,9.2,-0.0129,3.3791,1.1743
57344,1453.6,101,Common-Source Amplifier,6.8765,10.1,-0.0211,7.0815,1.1563
58368,1478.2,126,Common-Source Amplifier,7.7984,8.1,-0.0061,8.1091,1.1339
59392,1502.5,101,Common-Source Amplifier,7.0221,10.1,-0.0246,7.4369,1.0925
60416,1527.0,111,Common-Source Amplifier,7.4775,9.2,-0.0243,3.9854,1.1299
61440,1552.1,145,Common-Source Amplifier,8.0988,7.0,-0.0252,3.3665,1.0664
62464,1577.1,123,Common-Source Amplifier,7.3139,8.3,-0.0147,4.4316,1.1054
63488,1601.4,101,Common-Source Amplifier,6.9109,10.1,-0.0170,7.4447,1.1153
64512,1625.9,112,Common-Source Amplifier,6.9226,9.1,-0.0202,5.7020,1.0378
65536,1650.9,135,Common-Source Amplifier,7.5660,7.5,0.0040,13.4658,1.0117
66560,1675.9,141,Common-Source Amplifier,7.7505,7.3,-0.0183,6.0426,1.0059
67584,1700.9,122,Common-Source Amplifier,7.4013,8.4,-0.0119,5.0497,1.0141
68608,1725.2,113,Common-Source Amplifier,7.5611,9.0,-0.0103,3.7909,1.0380
69632,1749.8,113,Common-Source Amplifier,6.5864,8.8,0.0034,15.6423,0.9890
70656,1774.4,113,Common-Source Amplifier,7.3602,9.0,-0.0140,10.7824,1.0242
71680,1798.7,111,Common-Source Amplifier,6.7558,9.2,-0.0086,9.0692,1.0044
72704,1823.7,126,Common-Source Amplifier,7.8847,8.0,-0.0169,6.4262,0.9499
73728,1848.4,125,Common-Source Amplifier,7.6970,8.2,-0.0065,6.2152,1.0229
74752,1873.5,132,Common-Source Amplifier,8.0154,7.7,-0.0203,2.9048,0.9758
75776,1898.2,119,Common-Source Amplifier,7.4843,8.3,-0.0231,4.5160,1.0144
76800,1922.7,110,Common-Source Amplifier,6.7238,9.1,-0.0136,8.7886,1.0116
77824,1947.7,132,Common-Source Amplifier,7.5470,7.7,-0.0234,9.7099,0.9524
78848,1973.7,134,Common-Source Amplifier,8.1888,7.3,-0.0107,3.3036,0.9839
79872,1998.5,107,Common-Source Amplifier,7.1353,9.4,-0.0086,6.3179,1.0013
80896,2023.2,123,Common-Source Amplifier,7.5369,8.0,-0.0186,4.2033,0.9379
81920,2048.0,122,Common-Source Amplifier,7.3431,8.4,-0.0214,2.8779,0.9413
82944,2072.7,117,Common-Source Amplifier,7.6990,8.7,-0.0186,3.5717,0.9667
83968,2097.0,111,Common-Source Amplifier,7.5185,8.8,-0.0212,4.0053,0.9417
84992,2122.6,151,Common-Source Amplifier,8.2478,6.8,-0.0212,4.1086,0.9458
86016,2147.0,107,Common-Source Amplifier,7.2126,9.5,-0.0130,3.4370,0.9218
87040,2171.5,102,Common-Source Amplifier,6.4615,10.0,-0.0095,5.2945,0.9407
88064,2196.5,136,Common-Source Amplifier,7.8126,7.5,-0.0110,4.2996,0.8528
89088,2221.3,126,Common-Source Amplifier,7.9331,8.1,-0.0244,3.1290,0.8909
90112,2246.2,120,Common-Source Amplifier,7.3828,8.5,-0.0132,4.1049,0.8705
91136,2271.0,120,Common-Source Amplifier,7.2853,8.3,-0.0222,7.7974,0.9025
92160,2296.5,125,Common-Source Amplifier,7.7525,7.9,-0.0266,2.1944,0.8859
93184,2321.5,141,Common-Source Amplifier,8.0576,7.2,-0.0072,9.5681,0.8801
94208,2346.0,111,Common-Source Amplifier,7.5079,9.1,-0.0193,3.2255,0.9100
95232,2371.4,140,Common-Source Amplifier,8.2263,7.3,-0.0199,2.6573,0.8510
96256,2396.6,134,Common-Source Amplifier,8.0967,7.6,-0.0098,3.2852,0.8888
97280,2421.5,120,Common-Source Amplifier,7.5765,8.4,-0.0158,3.1981,0.9291
98304,2446.3,122,Common-Source Amplifier,7.3416,8.4,-0.0156,3.2862,0.9021
99328,2471.4,117,Common-Source Amplifier,7.4875,8.6,-0.0147,3.8419,0.8726
100352,2496.4,129,Common-Source Amplifier,7.4683,7.9,-0.0051,4.7341,0.8591
