timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
128,4.1,4,Common-Source Amplifier,-46.0983,27.0,-0.0207,256.8938,1.0894
256,7.9,4,Common-Source Amplifier,-44.2571,30.0,-0.0274,181.2902,1.0846
384,11.8,4,Common-Source Amplifier,-68.3071,30.0,-0.0159,1468.9010,1.0653
512,15.7,4,Common-Source Amplifier,-144.4899,30.0,-0.0321,3481.6070,1.0653
640,19.6,4,Common-Source Amplifier,-41.7585,30.0,0.0072,166.6895,0.9997
768,23.8,4,Common-Source Amplifier,-45.7474,30.0,-0.0325,305.3157,1.0225
896,27.8,4,Common-Source Amplifier,-21.0105,30.0,-0.0109,10.7790,1.0213
1024,31.9,4,Common-Source Amplifier,-21.1336,30.0,-0.0213,9.6494,1.0257
1152,35.9,4,Common-Source Amplifier,-27.3786,30.0,-0.0206,27.8846,1.0288
1280,39.7,4,Common-Source Amplifier,-16.8351,30.0,-0.0381,4.6247,0.9868
1408,43.6,4,Common-Source Amplifier,-19.5068,30.0,-0.0348,11.9633,0.9767
1536,47.7,4,Common-Source Amplifier,-17.7808,30.0,-0.0218,4.1470,0.9590
1664,51.8,4,Common-Source Amplifier,-22.8265,30.0,-0.0336,5.6576,0.9324
1792,55.7,4,Common-Source Amplifier,-14.6189,30.0,-0.0245,2.4877,0.8902
1920,59.5,4,Common-Source Amplifier,-22.2825,30.0,-0.0093,10.6799,0.8799
2048,63.4,4,Common-Source Amplifier,-16.0503,30.0,-0.0207,2.9322,0.8388
2176,67.2,4,Common-Source Amplifier,-14.1821,30.0,-0.0090,2.9296,0.8152
2304,71.1,4,Common-Source Amplifier,-13.2440,30.0,-0.0154,2.7078,0.8071
2432,74.8,4,Common-Source Amplifier,-14.7383,30.0,-0.0418,2.4156,0.7900
2560,78.6,4,Common-Source Amplifier,-14.0499,30.0,0.0024,4.0032,0.7755
2688,82.4,4,Common-Source Amplifier,-14.5449,30.0,-0.0175,3.5373,0.7719
2816,86.7,4,Common-Source Amplifier,-13.3079,30.0,-0.0155,3.3770,0.7375
