timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy,pct_err_gain_db,pct_err_bandwidth
512,6.5,10,Common-Source Amplifier,-116.7766,50.0,-0.0033,4318.2161,1.5939,69.53,743.88
1024,12.9,10,Common-Source Amplifier,-164.4514,50.0,-0.0216,4308.7166,1.5836,81.21,211.40
1536,19.3,10,Common-Source Amplifier,-29.6056,50.0,0.0142,82.3891,1.5731,41.24,24.15
2048,25.6,10,Common-Source Amplifier,-15.6747,50.0,-0.0121,14.5177,1.5622,30.63,49.39
2560,32.1,11,Common-Source Amplifier,-24.6722,45.6,-0.0270,108.4147,1.5268,18.01,59.76
3072,38.5,10,Common-Source Amplifier,-12.7267,50.0,-0.0128,10.0350,1.5262,3.79,76.74
3584,44.9,10,Common-Source Amplifier,-16.1990,50.0,-0.0122,7.8358,1.5104,12.49,69.39
4096,51.3,10,Common-Source Amplifier,-14.2980,50.0,-0.0250,6.7963,1.4865,9.24,73.18
4608,57.7,10,Common-Source Amplifier,-12.3083,50.0,-0.0164,7.1348,1.4966,7.58,77.01
5120,64.1,11,Common-Source Amplifier,-11.2928,45.5,-0.0140,4.4926,1.4903,5.82,68.27
5632,70.6,10,Common-Source Amplifier,-6.9675,50.0,0.0115,2.4204,1.5047,5.22,76.23
6144,77.0,10,Common-Source Amplifier,-6.9561,50.0,-0.0033,4.1721,1.5281,6.32,72.04
6656,83.4,11,Common-Source Amplifier,-7.6419,45.9,-0.0100,5.5236,1.5089,5.30,71.15
7168,89.8,10,Common-Source Amplifier,-6.1773,50.0,-0.0136,3.3134,1.5255,9.58,62.01
7680,96.2,10,Common-Source Amplifier,-6.3606,50.0,-0.0106,5.7599,1.5165,3.24,82.16
8192,102.5,10,Common-Source Amplifier,-13.3928,50.0,-0.0110,5.7360,1.4913,22.17,49.85
8704,108.9,10,Common-Source Amplifier,-15.0616,50.0,-0.0114,6.5228,1.4722,16.11,66.78
9216,115.2,10,Common-Source Amplifier,-8.6414,50.0,-0.0130,4.2075,1.4500,9.48,67.73
9728,121.6,10,Common-Source Amplifier,-7.8386,50.0,-0.0142,3.4992,1.4286,0.25,84.73
10240,128.0,10,Common-Source Amplifier,-6.9083,50.0,-0.0268,1.6299,1.3892,0.90,84.16
10752,134.5,10,Common-Source Amplifier,-4.3147,50.0,-0.0104,1.3660,1.3759,0.61,84.82
11264,140.9,10,Common-Source Amplifier,-4.4310,50.0,0.0042,2.4401,1.3718,2.83,85.99
11776,147.4,10,Common-Source Amplifier,-2.4917,50.0,-0.0124,0.8746,1.3338,3.45,85.10
12288,153.7,11,Common-Source Amplifier,-5.7972,45.5,-0.0137,3.3628,1.3032,15.84,57.36
12800,160.1,10,Common-Source Amplifier,-6.5441,50.0,-0.0148,2.0077,1.2851,1.73,85.98
13312,166.5,10,Common-Source Amplifier,-4.9004,50.0,-0.0179,1.2339,1.2456,0.03,85.80
13824,172.8,10,Common-Source Amplifier,-4.7032,50.0,-0.0187,3.0751,1.2648,0.63,86.12
14336,179.2,10,Common-Source Amplifier,-4.7399,50.0,-0.0195,2.1946,1.2283,26.43,54.39
14848,185.6,10,Common-Source Amplifier,-7.4955,50.0,-0.0147,3.0790,1.2064,3.92,79.06
15360,192.0,10,Common-Source Amplifier,-1.5848,50.0,-0.0065,1.2364,1.2444,6.07,79.69
15872,198.4,10,Common-Source Amplifier,-2.5875,50.0,-0.0164,0.8975,1.2119,1.54,85.83
16384,204.8,11,Common-Source Amplifier,-2.1916,45.5,-0.0242,0.7878,1.2033,0.16,78.89
16896,211.3,10,Common-Source Amplifier,-4.4689,50.0,-0.0259,1.6757,1.1875,2.12,86.06
17408,217.7,11,Common-Source Amplifier,-0.0271,45.6,-0.0102,1.0233,1.1410,0.47,79.28
17920,224.1,10,Common-Source Amplifier,-2.9852,50.0,-0.0119,1.0439,1.1243,0.99,86.30
18432,230.6,10,Common-Source Amplifier,-1.8950,50.0,-0.0101,1.6861,1.1521,0.92,86.24
18944,237.0,11,Common-Source Amplifier,-2.5438,45.5,-0.0094,1.2318,1.1304,0.70,79.18
19456,243.4,10,Common-Source Amplifier,-0.6963,50.0,-0.0196,0.7634,1.1489,0.26,86.41
19968,249.9,10,Common-Source Amplifier,0.3668,50.0,-0.0095,0.3735,1.1478,1.37,86.31
20480,256.3,10,Common-Source Amplifier,-1.9998,50.0,-0.0170,0.7636,1.1312,0.29,86.33
20992,262.7,10,Common-Source Amplifier,-1.4429,50.0,-0.0183,0.5572,1.1041,0.36,86.43
21504,269.2,10,Common-Source Amplifier,0.6004,50.0,-0.0140,0.3719,1.1074,0.41,86.75
22016,275.6,10,Common-Source Amplifier,-0.1459,50.0,-0.0185,0.4848,1.1149,0.65,86.43
22528,282.0,10,Common-Source Amplifier,2.3334,50.0,-0.0089,0.1769,1.1376,1.53,86.29
23040,288.5,10,Common-Source Amplifier,-1.3268,50.0,-0.0038,4.2931,1.1157,13.29,62.33
23552,294.9,10,Common-Source Amplifier,-2.2037,50.0,-0.0172,0.9598,1.1136,2.05,86.15
24064,301.3,10,Common-Source Amplifier,-1.1375,50.0,-0.0123,0.9098,1.1396,1.21,86.23
24576,307.8,10,Common-Source Amplifier,0.7588,50.0,-0.0143,0.4213,1.1606,0.30,86.62
