timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,11.6,28,Common-Source Amplifier,-7.6125,36.0,0.0001,5.1531,1.0871
2048,23.4,29,Common-Source Amplifier,-6.3156,34.6,-0.0075,7.2245,1.0890
3072,35.4,30,Common-Source Amplifier,-5.9471,33.3,-0.0020,7.9092,1.0859
4096,47.5,39,Common-Source Amplifier,-1.9428,26.1,-0.0148,9.2921,1.0800
5120,59.4,32,Common-Source Amplifier,-4.2152,30.6,-0.0173,10.2057,1.0711
6144,71.2,30,Common-Source Amplifier,-5.7538,33.7,-0.0132,13.2833,1.0550
7168,83.1,34,Common-Source Amplifier,-6.0377,29.4,-0.0020,27.3105,1.0374
8192,95.0,41,Common-Source Amplifier,-2.2980,24.3,-0.0095,18.7832,1.0340
9216,107.1,40,Common-Source Amplifier,-9.6051,24.8,0.0172,670.5055,1.0254
10240,119.0,33,Common-Source Amplifier,-6.8506,30.8,-0.0069,57.0314,1.0382
11264,130.9,36,Common-Source Amplifier,-9.0934,27.9,-0.0056,191.9591,1.0473
12288,142.9,42,Common-Source Amplifier,-1.4172,23.5,-0.0042,30.0135,1.0438
13312,155.0,48,Common-Source Amplifier,2.0894,20.9,-0.0039,18.0116,1.0470
14336,167.2,44,Common-Source Amplifier,-2.0496,23.0,-0.0075,23.0371,1.0195
15360,179.1,35,Common-Source Amplifier,-2.8866,28.6,-0.0008,11.3428,1.0206
16384,191.2,43,Common-Source Amplifier,-0.1545,23.4,-0.0089,20.2570,1.0040
17408,203.3,45,Common-Source Amplifier,-4.7297,22.2,-0.0019,121.7580,0.9812
18432,215.3,43,Common-Source Amplifier,-13.7271,23.2,-0.0058,1014.1878,1.0142
19456,227.5,48,Common-Source Amplifier,-0.0540,21.2,-0.0070,69.4333,1.0037
20480,239.7,49,Common-Source Amplifier,-0.0759,20.9,-0.0073,47.4876,0.9799
21504,251.7,43,Common-Source Amplifier,-1.0242,23.5,0.0009,24.3279,0.9989
22528,263.8,41,Common-Source Amplifier,-8.0060,24.2,-0.0094,278.1148,1.0073
23552,275.8,42,Common-Source Amplifier,-3.9345,23.7,-0.0039,104.5766,0.9966
24576,288.0,47,Common-Source Amplifier,-6.6478,21.6,-0.0017,239.2445,0.9747
25600,300.0,42,Common-Source Amplifier,-0.0620,23.7,0.0020,27.5042,1.0003
26624,312.1,45,Common-Source Amplifier,-0.9411,22.5,-0.0146,40.0334,0.9820
27648,324.3,42,Common-Source Amplifier,-10.3521,24.2,0.0083,271.2168,0.9630
28672,336.4,48,Common-Source Amplifier,-12.0791,21.3,-0.0034,923.5762,0.9454
29696,349.3,62,Common-Source Amplifier,-19.0903,15.8,-0.0114,8267.0983,0.9548
30720,361.6,51,Common-Source Amplifier,-2.7959,19.5,0.0047,295.2852,0.9754
31744,374.0,58,Common-Source Amplifier,0.8450,17.5,0.0129,195.8206,0.9598
32768,386.5,53,Common-Source Amplifier,-1.6198,19.3,-0.0080,196.7444,0.9568
33792,398.9,57,Common-Source Amplifier,2.9888,17.9,0.0100,25.0316,0.9620
34816,410.7,42,Common-Source Amplifier,-0.8507,23.7,-0.0044,39.3715,0.9668
35840,422.5,53,Common-Source Amplifier,-2.8059,19.2,0.0035,178.0163,0.9104
36864,434.4,42,Common-Source Amplifier,-11.0268,24.1,-0.0056,287.6554,0.9232
37888,446.6,64,Common-Source Amplifier,-4.6332,15.8,-0.0010,453.0515,0.9104
38912,458.7,56,Common-Source Amplifier,-1.2059,17.9,-0.0152,137.6288,0.9267
39936,471.0,54,Common-Source Amplifier,0.7739,18.4,-0.0069,50.4845,0.9157
40960,483.2,53,Common-Source Amplifier,0.8493,19.2,-0.0013,30.1361,0.9178
41984,494.9,59,Common-Source Amplifier,-2.1053,16.6,-0.0142,232.5818,0.8873
43008,507.6,57,Common-Source Amplifier,-0.9913,17.9,-0.0050,174.5780,0.8378
44032,519.9,59,Common-Source Amplifier,-0.8627,17.0,-0.0011,189.1293,0.8485
45056,532.6,69,Common-Source Amplifier,2.3402,14.8,0.0040,226.3145,0.8140
46080,545.5,52,Common-Source Amplifier,-7.8226,19.5,-0.0005,391.0185,0.8458
47104,558.0,50,Common-Source Amplifier,1.1832,20.2,0.0073,70.3593,0.9028
48128,570.4,59,Common-Source Amplifier,-7.4890,17.3,0.0067,587.2470,0.8440
49152,582.3,49,Common-Source Amplifier,0.2472,20.3,-0.0001,118.1972,0.8851
50176,594.1,39,Common-Source Amplifier,-16.2717,25.3,0.0074,969.0739,0.8592
51200,606.0,47,Common-Source Amplifier,-13.1067,21.5,0.0023,539.5731,0.8428
52224,618.1,71,Common-Source Amplifier,1.8311,13.9,-0.0025,150.4665,0.8854
53248,630.0,45,Common-Source Amplifier,-8.8032,22.1,0.0027,364.9185,0.8604
54272,642.1,66,Common-Source Amplifier,-0.4424,15.3,-0.0035,338.2437,0.8407
55296,654.2,72,Common-Source Amplifier,-3.6487,14.1,0.0075,851.4197,0.7973
56320,666.2,63,Common-Source Amplifier,-0.7201,15.6,-0.0028,416.1860,0.8095
57344,678.1,55,Common-Source Amplifier,-1.5204,18.3,0.0008,278.4038,0.8404
58368,689.8,45,Common-Source Amplifier,-10.3310,22.5,-0.0076,322.1236,0.8658
59392,701.9,51,Common-Source Amplifier,-1.0171,19.8,0.0021,99.4694,0.8805
60416,713.8,53,Common-Source Amplifier,-22.8581,19.2,0.0085,3212.7034,0.8337
61440,725.6,48,Common-Source Amplifier,-2.4030,21.3,0.0043,172.9537,0.8998
62464,737.4,45,Common-Source Amplifier,-4.5738,22.8,-0.0008,114.9798,0.8742
63488,749.1,42,Common-Source Amplifier,-4.6572,24.4,-0.0032,106.3408,0.8825
64512,760.9,49,Common-Source Amplifier,0.5890,20.7,-0.0044,52.6453,0.8857
65536,772.8,48,Common-Source Amplifier,1.0469,20.5,0.0080,11.9782,0.8697
66560,784.8,51,Common-Source Amplifier,-3.4320,20.0,-0.0097,65.0042,0.8629
67584,796.8,51,Common-Source Amplifier,-8.3089,19.9,0.0011,315.8823,0.8494
68608,808.8,57,Common-Source Amplifier,2.3577,17.2,-0.0058,55.6889,0.8926
69632,820.8,57,Common-Source Amplifier,0.3576,17.9,-0.0081,74.7352,0.8692
70656,832.6,50,Common-Source Amplifier,-0.8189,20.2,-0.0021,61.7188,0.8621
71680,845.0,59,Common-Source Amplifier,-1.9306,17.3,0.0130,216.1742,0.8568
72704,856.8,50,Common-Source Amplifier,-3.4496,20.0,-0.0078,219.8147,0.8560
73728,868.6,41,Common-Source Amplifier,0.0348,24.7,0.0111,33.1291,0.8456
74752,880.6,62,Common-Source Amplifier,3.0164,16.0,-0.0094,31.9426,0.8481
75776,892.9,47,Common-Source Amplifier,-3.4823,21.2,-0.0002,161.0789,0.8264
76800,904.7,43,Common-Source Amplifier,0.0356,22.9,-0.0018,22.7987,0.8200
77824,916.8,56,Common-Source Amplifier,1.8501,18.0,-0.0027,17.9996,0.8236
78848,928.6,52,Common-Source Amplifier,-7.2645,19.0,0.0011,635.3119,0.8055
79872,940.5,66,Common-Source Amplifier,2.9854,15.5,0.0066,77.6932,0.7833
80896,952.5,54,Common-Source Amplifier,-2.5219,18.8,-0.0007,222.1008,0.8000
81920,964.5,62,Common-Source Amplifier,2.9296,16.0,0.0130,81.8973,0.7623
82944,976.2,42,Common-Source Amplifier,-8.0859,23.5,-0.0091,218.0182,0.7649
83968,988.0,48,Common-Source Amplifier,-4.9268,20.8,-0.0037,220.6162,0.7621
84992,999.9,61,Common-Source Amplifier,3.7753,16.1,0.0028,18.7496,0.8117
86016,1011.9,57,Common-Source Amplifier,3.5884,17.6,-0.0017,10.8825,0.7782
87040,1968.2,59,Common-Source Amplifier,4.3860,16.9,0.0016,7.3049,0.7895
88064,1980.2,75,Common-Source Amplifier,5.1225,13.1,0.0107,9.0491,0.7525
89088,1991.2,52,Common-Source Amplifier,-0.7895,19.3,-0.0031,89.5371,0.7523
90112,2002.2,73,Common-Source Amplifier,3.3573,13.5,-0.0011,49.9870,0.7024
91136,2013.3,51,Common-Source Amplifier,0.4430,19.7,-0.0053,34.7825,0.7609
92160,3045.5,53,Common-Source Amplifier,2.2809,19.1,0.0076,33.8465,0.7635
93184,3057.1,59,Common-Source Amplifier,2.5486,16.7,-0.0005,20.9782,0.6585
94208,3068.4,51,Common-Source Amplifier,2.8551,19.2,0.0031,4.0086,0.7535
95232,3079.3,60,Common-Source Amplifier,0.7882,16.9,0.0019,69.9474,0.7468
96256,3090.5,64,Common-Source Amplifier,4.0292,16.0,-0.0027,13.1567,0.7321
97280,3101.6,57,Common-Source Amplifier,2.7804,17.7,-0.0121,6.4068,0.7551
98304,3112.8,73,Common-Source Amplifier,5.1245,13.6,-0.0095,3.6313,0.6773
99328,3123.8,56,Common-Source Amplifier,3.2716,18.2,-0.0055,4.9984,0.7217
100352,3134.8,60,Common-Source Amplifier,4.7602,16.8,-0.0001,8.4861,0.7665
