timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,29.0,29,Common-Source Amplifier,-12.0829,34.9,-0.0133,20.9579,1.5974
2048,58.2,30,Common-Source Amplifier,-5.4130,32.8,-0.0132,12.8011,1.5944
3072,87.6,33,Common-Source Amplifier,-5.6437,30.4,-0.0171,14.5216,1.5786
4096,117.9,41,Common-Source Amplifier,-36.3882,24.0,0.0156,4752.8850,1.5648
5120,147.5,36,Common-Source Amplifier,-2.1542,27.1,0.0042,39.4105,1.5558
6144,176.0,30,Common-Source Amplifier,-6.5400,33.2,-0.0113,21.2130,1.5470
7168,203.5,28,Common-Source Amplifier,-8.2197,35.5,0.0007,17.2449,1.5417
8192,229.8,37,Common-Source Amplifier,-4.5007,26.4,-0.0148,27.1300,1.5206
9216,256.9,39,Common-Source Amplifier,-2.4631,25.9,-0.0188,16.6181,1.5002
10240,282.7,32,Common-Source Amplifier,-9.3176,31.7,0.0070,54.0238,1.4980
11264,309.4,36,Common-Source Amplifier,-3.1654,28.0,0.0040,14.0503,1.5051
12288,335.3,45,Common-Source Amplifier,-0.5710,22.6,-0.0012,16.1501,1.4933
13312,362.0,44,Common-Source Amplifier,-0.5791,22.6,-0.0096,14.1545,1.4791
14336,389.7,42,Common-Source Amplifier,-1.8067,23.6,-0.0182,14.7172,1.4761
15360,415.8,31,Common-Source Amplifier,-58.9224,32.8,0.0296,13203.5906,1.4625
16384,441.1,36,Common-Source Amplifier,-3.6014,27.9,-0.0027,31.0955,1.4573
17408,467.3,40,Common-Source Amplifier,-1.9814,25.2,-0.0098,26.9515,1.4526
18432,491.9,30,Common-Source Amplifier,-5.4944,32.6,-0.0112,11.4671,1.4543
19456,519.0,34,Common-Source Amplifier,-4.2709,30.1,-0.0016,10.1412,1.4268
20480,545.7,46,Common-Source Amplifier,-0.0612,21.8,-0.0054,14.7361,1.4301
21504,572.1,38,Common-Source Amplifier,-3.5602,26.6,-0.0096,16.2743,1.4303
22528,599.4,42,Common-Source Amplifier,-0.1585,23.2,-0.0107,14.9091,1.4372
23552,625.8,36,Common-Source Amplifier,-4.3647,27.3,0.0028,17.9746,1.4249
24576,651.8,42,Common-Source Amplifier,-3.9928,23.4,-0.0129,55.2468,1.4157
25600,679.0,33,Common-Source Amplifier,-4.3385,31.0,-0.0042,15.3255,1.4062
26624,705.9,46,Common-Source Amplifier,-1.2477,22.2,-0.0034,13.8689,1.3991
27648,731.1,43,Common-Source Amplifier,-1.4787,23.5,-0.0059,8.8549,1.3938
28672,755.9,45,Common-Source Amplifier,-0.5536,22.7,-0.0084,11.8904,1.3828
29696,782.1,34,Common-Source Amplifier,-4.9441,28.9,0.0102,11.1339,1.3749
30720,808.7,46,Common-Source Amplifier,-5.1834,21.2,0.0297,130.9032,1.3597
31744,835.2,44,Common-Source Amplifier,0.1386,22.7,-0.0076,19.1099,1.3773
32768,861.6,45,Common-Source Amplifier,-0.4167,21.9,0.0051,10.5787,1.3638
33792,888.9,48,Common-Source Amplifier,-0.2452,20.4,-0.0131,11.4795,1.3248
34816,913.4,40,Common-Source Amplifier,-1.7191,24.6,-0.0042,15.9646,1.3591
35840,938.2,61,Common-Source Amplifier,2.1243,16.5,-0.0111,14.9641,1.3563
36864,963.0,57,Common-Source Amplifier,2.3188,17.5,-0.0084,15.6905,1.3614
37888,987.9,53,Common-Source Amplifier,0.7275,18.9,-0.0015,12.6869,1.3466
38912,1012.6,43,Common-Source Amplifier,-4.7124,23.8,0.0007,48.8692,1.3565
39936,1037.4,49,Common-Source Amplifier,-2.6047,20.5,-0.0006,75.0941,1.3339
40960,1062.3,60,Common-Source Amplifier,-12.1704,16.6,0.0042,1915.8436,1.3259
41984,1087.2,55,Common-Source Amplifier,2.3134,18.5,0.0315,34.6408,1.3561
43008,1112.6,37,Common-Source Amplifier,-1.9822,26.7,0.0018,11.7043,1.3586
44032,1137.9,40,Common-Source Amplifier,-8.2092,25.1,0.0002,68.9980,1.3279
45056,1164.3,50,Common-Source Amplifier,-9.2972,19.7,0.0439,748.4770,1.3093
46080,1189.5,47,Common-Source Amplifier,-0.9580,21.8,-0.0080,45.7003,1.3026
47104,1214.4,48,Common-Source Amplifier,-3.3891,20.5,-0.0067,164.9572,1.3011
48128,1240.3,48,Common-Source Amplifier,-2.4684,20.9,-0.0003,79.3477,1.2801
49152,1267.3,44,Common-Source Amplifier,0.8289,22.2,0.0063,22.8330,1.2818
50176,1293.6,44,Common-Source Amplifier,-5.7862,23.2,-0.0006,69.0039,1.2835
51200,1318.7,38,Common-Source Amplifier,-1.9859,26.2,0.0147,14.9277,1.2600
52224,1344.6,35,Common-Source Amplifier,-7.4752,28.8,0.0023,43.5342,1.2614
53248,1370.1,53,Common-Source Amplifier,-0.7567,18.6,0.0020,33.5715,1.2433
54272,1396.3,45,Common-Source Amplifier,0.1444,21.8,-0.0001,16.0102,1.2532
55296,1422.7,41,Common-Source Amplifier,-5.2326,24.1,-0.0015,46.3318,1.2256
56320,1448.3,39,Common-Source Amplifier,-2.5374,25.4,-0.0054,20.7397,1.2042
57344,1474.5,62,Common-Source Amplifier,2.0273,16.4,-0.0035,24.7841,1.2195
58368,1499.9,44,Common-Source Amplifier,-6.3169,23.2,0.0316,114.4601,1.1923
59392,1524.9,42,Common-Source Amplifier,-3.2068,24.1,-0.0067,19.8453,1.2053
60416,1552.2,52,Common-Source Amplifier,-14.0887,19.3,0.0339,2163.8517,1.2486
61440,1578.1,55,Common-Source Amplifier,0.7382,18.2,0.0028,52.9145,1.2982
62464,1603.3,46,Common-Source Amplifier,-0.1751,22.1,0.0117,29.9572,1.3003
63488,1630.0,59,Common-Source Amplifier,2.0910,17.1,0.0053,37.1424,1.2635
64512,1656.6,49,Common-Source Amplifier,1.2714,20.1,-0.0091,8.5806,1.2470
65536,1682.2,33,Common-Source Amplifier,-4.9228,29.9,-0.0101,14.3406,1.1475
66560,1708.4,47,Common-Source Amplifier,-0.0851,21.6,-0.0156,15.0967,1.1658
67584,1735.2,59,Common-Source Amplifier,1.8707,17.3,-0.0178,19.0543,1.1829
68608,1761.0,51,Common-Source Amplifier,0.9822,20.0,-0.0061,12.0343,1.1526
69632,1787.3,51,Common-Source Amplifier,1.7618,19.8,-0.0053,12.2928,1.1064
70656,1813.0,46,Common-Source Amplifier,-0.9509,21.8,-0.0076,13.4947,1.1341
71680,1838.9,42,Common-Source Amplifier,-1.1150,23.6,-0.0078,20.7526,1.1049
72704,1865.4,59,Common-Source Amplifier,2.3745,16.6,-0.0112,17.2528,1.1195
73728,1892.6,62,Common-Source Amplifier,3.3375,16.2,-0.0065,10.4335,1.0725
74752,1918.5,51,Common-Source Amplifier,-0.2429,19.6,-0.0117,18.5525,1.0843
75776,1948.0,59,Common-Source Amplifier,2.4559,17.2,-0.0089,14.7645,1.0417
76800,1978.7,50,Common-Source Amplifier,1.7272,20.0,-0.0077,13.0682,1.0425
77824,2006.0,67,Common-Source Amplifier,3.0936,14.9,-0.0027,13.1861,1.0320
78848,2033.1,55,Common-Source Amplifier,1.8574,18.1,-0.0119,24.0499,1.0265
79872,2059.4,47,Common-Source Amplifier,0.8859,21.3,-0.0081,10.5486,1.0383
80896,2086.0,66,Common-Source Amplifier,3.4007,15.5,-0.0043,12.8496,1.0161
81920,2112.4,54,Common-Source Amplifier,2.1179,18.5,-0.0121,6.2320,1.0209
82944,2139.3,52,Common-Source Amplifier,1.9691,19.5,-0.0096,5.3552,0.9935
83968,2166.7,60,Common-Source Amplifier,3.2944,16.6,-0.0021,7.3441,0.9751
84992,2192.3,57,Common-Source Amplifier,2.6219,17.3,-0.0016,10.6224,0.9857
86016,2217.5,62,Common-Source Amplifier,3.2553,16.1,-0.0139,8.3081,1.0051
87040,2242.5,55,Common-Source Amplifier,1.9474,17.8,-0.0112,23.0865,0.9674
88064,2267.4,47,Common-Source Amplifier,1.4767,20.8,-0.0115,10.8059,0.9904
89088,2293.2,61,Common-Source Amplifier,3.4115,16.4,-0.0079,8.2921,0.9551
90112,2318.7,52,Common-Source Amplifier,1.9089,18.8,-0.0131,9.3171,0.9851
91136,2344.6,73,Common-Source Amplifier,4.4376,14.0,-0.0135,9.3956,0.9767
92160,2370.0,62,Common-Source Amplifier,3.6592,16.1,-0.0123,7.0328,0.9897
93184,2395.6,68,Common-Source Amplifier,4.2686,14.9,-0.0069,4.5397,0.9944
94208,2422.5,57,Common-Source Amplifier,2.5524,17.8,-0.0076,6.6782,0.9886
95232,2448.2,68,Common-Source Amplifier,3.4961,15.1,-0.0032,9.4103,0.9499
96256,2473.3,56,Common-Source Amplifier,3.0760,18.1,-0.0076,5.5122,1.0290
97280,2498.5,53,Common-Source Amplifier,2.4618,19.2,-0.0066,6.4838,0.9782
98304,2523.7,57,Common-Source Amplifier,1.4443,17.5,-0.0011,11.1921,1.0337
99328,2548.8,52,Common-Source Amplifier,0.6725,19.5,-0.0046,15.0928,0.9416
100352,2574.2,55,Common-Source Amplifier,2.7228,18.6,-0.0076,4.5491,0.9579
