timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,11.5,27,Common-Source Amplifier,-14.7348,36.3,0.0018,93.5564,1.0838
2048,23.2,21,Common-Source Amplifier,-26.0796,48.1,-0.0064,41.0115,1.0843
3072,35.6,33,Common-Source Amplifier,-10.4316,29.6,-0.0057,67.3849,1.0838
4096,47.5,23,Common-Source Amplifier,-14.8585,43.0,-0.0084,24.7970,1.0693
5120,59.4,32,Common-Source Amplifier,-6.0893,30.5,-0.0020,11.9905,1.0707
6144,71.3,25,Common-Source Amplifier,-11.2124,40.6,-0.0065,7.6905,1.0467
7168,83.3,30,Common-Source Amplifier,-7.0215,34.0,-0.0033,6.6433,1.0391
8192,95.2,26,Common-Source Amplifier,-8.7661,38.0,-0.0144,5.7822,1.0122
9216,107.1,30,Common-Source Amplifier,-7.9056,33.7,-0.0022,4.9211,0.9981
10240,119.0,26,Common-Source Amplifier,-9.8807,38.9,-0.0146,2.7645,0.9817
11264,130.9,22,Common-Source Amplifier,-16.5894,44.5,-0.0176,8.5871,0.9525
12288,142.8,29,Common-Source Amplifier,-8.3339,34.8,-0.0061,2.2478,0.9337
13312,154.6,22,Common-Source Amplifier,-13.1413,45.5,-0.0015,2.3825,0.9313
14336,166.5,29,Common-Source Amplifier,-10.7632,34.4,0.0010,26.1465,0.9147
15360,179.0,32,Common-Source Amplifier,-7.5611,31.8,-0.0138,6.6810,0.9237
16384,191.5,29,Common-Source Amplifier,-7.1916,34.9,-0.0086,4.2232,0.8922
17408,204.5,27,Common-Source Amplifier,-10.2648,37.7,-0.0043,5.0769,0.8787
18432,216.7,28,Common-Source Amplifier,-7.3683,34.8,-0.0100,4.3294,0.8606
19456,229.6,25,Common-Source Amplifier,-11.9148,40.6,-0.0126,3.6799,0.8492
20480,242.2,24,Common-Source Amplifier,-11.3234,41.8,-0.0129,1.9775,0.8520
21504,254.8,30,Common-Source Amplifier,-6.5992,33.7,-0.0037,3.2128,0.8556
22528,267.2,26,Common-Source Amplifier,-9.0540,38.9,-0.0062,3.2822,0.8558
23552,280.3,24,Common-Source Amplifier,-10.7414,41.9,-0.0025,2.9417,0.8337
24576,293.4,26,Common-Source Amplifier,-11.4844,39.3,-0.0120,2.8284,0.7985
25600,306.1,29,Common-Source Amplifier,-6.5643,34.8,-0.0082,2.4674,0.8238
26624,318.4,28,Common-Source Amplifier,-9.2122,36.3,-0.0053,4.6965,0.8012
27648,331.1,29,Common-Source Amplifier,-8.6441,34.8,-0.0037,11.3145,0.8172
28672,343.6,27,Common-Source Amplifier,-8.0552,36.4,0.0028,5.4481,0.8195
29696,356.2,28,Common-Source Amplifier,-8.0008,36.3,-0.0132,3.0316,0.8086
30720,368.5,27,Common-Source Amplifier,-9.7645,37.3,-0.0060,3.7937,0.8042
31744,381.0,31,Common-Source Amplifier,-7.9505,32.9,-0.0080,7.3669,0.7924
32768,393.4,26,Common-Source Amplifier,-8.7569,38.3,-0.0035,4.1802,0.8048
33792,405.8,26,Common-Source Amplifier,-11.1214,38.9,-0.0059,4.2871,0.7497
34816,418.2,31,Common-Source Amplifier,-4.7796,32.4,-0.0023,3.9689,0.7559
35840,430.6,25,Common-Source Amplifier,-10.2649,40.3,-0.0076,3.7577,0.7252
