timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,12.9,32,Common-Source Amplifier,-5.0781,32.0,-0.0057,5.6074,1.0899
2048,26.0,34,Common-Source Amplifier,-6.2851,30.1,-0.0076,11.3642,1.0837
3072,39.2,36,Common-Source Amplifier,-3.9864,28.4,-0.0141,14.8658,1.0716
4096,52.5,37,Common-Source Amplifier,-3.1618,27.7,-0.0114,13.1536,1.0683
5120,65.7,45,Common-Source Amplifier,-0.9919,22.8,-0.0101,21.0264,1.0504
6144,78.9,39,Common-Source Amplifier,-2.4891,26.3,-0.0101,23.4216,1.0298
7168,92.3,42,Common-Source Amplifier,-0.7003,24.4,-0.0090,16.7561,1.0204
8192,105.6,44,Common-Source Amplifier,-1.7480,23.3,-0.0147,24.0484,1.0226
9216,119.1,51,Common-Source Amplifier,2.3886,20.1,-0.0111,19.5806,1.0098
10240,132.7,56,Common-Source Amplifier,-2.2824,18.3,-0.0099,129.8144,1.0016
11264,146.3,47,Common-Source Amplifier,-1.0662,21.8,-0.0134,44.7694,1.0136
12288,159.8,51,Common-Source Amplifier,-0.1965,20.1,-0.0143,37.3582,0.9921
13312,173.2,52,Common-Source Amplifier,0.8583,19.7,-0.0143,32.7032,0.9959
14336,186.7,51,Common-Source Amplifier,3.3578,20.1,-0.0140,12.0569,0.9446
15360,200.2,58,Common-Source Amplifier,2.7492,17.7,-0.0128,26.3474,0.9323
16384,213.8,51,Common-Source Amplifier,0.3539,20.1,-0.0124,36.6273,0.9459
17408,227.2,54,Common-Source Amplifier,1.8733,19.0,-0.0138,27.2320,0.9338
18432,240.2,56,Common-Source Amplifier,2.3477,18.3,-0.0124,30.6886,0.9360
19456,253.4,73,Common-Source Amplifier,2.5748,14.0,-0.0148,70.7201,0.9003
20480,266.6,67,Common-Source Amplifier,2.7005,15.3,-0.0098,70.6389,0.8805
21504,280.1,65,Common-Source Amplifier,2.6454,15.8,-0.0143,98.0577,0.8778
22528,293.3,67,Common-Source Amplifier,2.2996,15.3,-0.0101,55.3652,0.8632
23552,306.4,70,Common-Source Amplifier,4.3393,14.6,-0.0107,31.1464,0.8235
24576,319.5,59,Common-Source Amplifier,2.0948,17.4,-0.0071,51.9996,0.8429
25600,332.5,55,Common-Source Amplifier,4.1047,18.6,-0.0133,11.5708,0.8326
26624,345.9,81,Common-Source Amplifier,5.4900,12.6,-0.0112,23.5311,0.8084
27648,359.4,80,Common-Source Amplifier,5.4838,12.8,-0.0126,15.4099,0.7594
28672,372.8,83,Common-Source Amplifier,6.0127,12.3,-0.0129,13.5247,0.7178
29696,386.3,88,Common-Source Amplifier,5.9501,11.6,-0.0172,18.9884,0.7746
30720,399.6,77,Common-Source Amplifier,5.2516,13.3,-0.0100,12.5869,0.6950
31744,412.9,67,Common-Source Amplifier,5.4999,15.3,-0.0177,5.0795,0.7132
32768,426.8,90,Common-Source Amplifier,6.9914,11.4,-0.0126,2.8673,0.6541
33792,441.9,92,Common-Source Amplifier,7.2093,11.1,-0.0062,2.0182,0.6762
34816,455.8,90,Common-Source Amplifier,5.5128,11.4,-0.0153,7.9848,0.6276
35840,470.5,90,Common-Source Amplifier,6.8970,11.4,-0.0152,5.6368,0.6432
36864,485.6,108,Common-Source Amplifier,7.5570,9.5,-0.0102,5.1676,0.5995
37888,499.3,97,Common-Source Amplifier,6.5827,10.6,-0.0127,14.8420,0.5627
38912,512.9,92,Common-Source Amplifier,6.0212,11.1,-0.0086,28.0620,0.5882
39936,526.7,110,Common-Source Amplifier,7.4634,9.3,-0.0148,6.6672,0.5685
40960,540.4,93,Common-Source Amplifier,6.8630,11.0,-0.0112,3.5482,0.5818
41984,554.0,94,Common-Source Amplifier,6.7224,10.9,-0.0131,7.6367,0.5508
43008,567.9,90,Common-Source Amplifier,6.9386,11.4,-0.0125,3.7876,0.5428
44032,582.0,86,Common-Source Amplifier,6.0443,11.9,-0.0093,16.7092,0.5492
45056,596.4,85,Common-Source Amplifier,5.7199,12.0,-0.0062,18.1768,0.5402
46080,611.2,107,Common-Source Amplifier,7.2066,9.6,-0.0147,8.3246,0.5096
47104,625.3,82,Common-Source Amplifier,4.5008,12.5,-0.0059,18.3395,0.5083
