timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,13.7,18,Two-Stage Op-Amp Configuration,-89.1316,56.9,-0.0117,1341.3063,1.0938
2048,27.7,23,Two-Stage Op-Amp Configuration,-31.0551,44.5,-0.0099,361.9992,1.0941
3072,41.5,15,Two-Stage Op-Amp Configuration,-68.5430,68.3,-0.0168,1088.3799,1.0936
4096,55.6,21,Two-Stage Op-Amp Configuration,-16.0105,48.8,-0.0091,39.8116,1.0871
5120,69.9,20,Two-Stage Op-Amp Configuration,-40.8386,51.2,-0.0228,605.1083,1.0874
6144,84.3,18,Two-Stage Op-Amp Configuration,-21.2944,56.9,-0.0148,61.1263,1.0852
7168,98.4,16,Two-Stage Op-Amp Configuration,-43.4318,64.0,-0.0155,227.7759,1.0855
8192,112.6,17,Two-Stage Op-Amp Configuration,-29.4083,60.2,-0.0167,67.3596,1.0853
9216,126.5,22,Two-Stage Op-Amp Configuration,-35.9713,46.5,-0.0180,291.8467,1.0824
10240,140.6,15,Two-Stage Op-Amp Configuration,-33.4403,68.3,-0.0170,106.1653,1.0844
11264,154.3,24,Two-Stage Op-Amp Configuration,-62.0441,42.7,-0.0094,2214.9680,1.0849
12288,167.9,23,Two-Stage Op-Amp Configuration,-10.5958,44.5,-0.0148,55.9340,1.0757
13312,181.8,16,Two-Stage Op-Amp Configuration,-80.1121,64.0,-0.0129,1522.5902,1.0766
14336,195.6,28,Two-Stage Op-Amp Configuration,-19.7707,36.6,-0.0182,209.0987,1.0697
15360,209.6,17,Two-Stage Op-Amp Configuration,-45.9076,60.2,-0.0243,214.5370,1.0719
16384,223.5,19,Two-Stage Op-Amp Configuration,-17.6977,53.9,-0.0140,65.7008,1.0611
17408,237.5,22,Two-Stage Op-Amp Configuration,-38.2201,46.5,-0.0163,555.9169,1.0666
18432,250.7,15,Two-Stage Op-Amp Configuration,-39.4314,68.3,-0.0142,94.2171,1.0548
19456,264.1,20,Two-Stage Op-Amp Configuration,-27.7198,51.2,-0.0180,196.6412,1.0530
20480,278.0,20,Two-Stage Op-Amp Configuration,-13.2403,51.2,-0.0111,18.2578,1.0611
21504,291.9,26,Two-Stage Op-Amp Configuration,-21.0234,39.4,-0.0138,207.6695,1.0497
22528,305.6,34,Two-Stage Op-Amp Configuration,-33.5680,30.1,-0.0135,1391.6041,1.0303
23552,319.6,16,Two-Stage Op-Amp Configuration,-47.5386,64.0,-0.0119,479.1329,1.0338
24576,333.6,24,Two-Stage Op-Amp Configuration,-17.7772,42.7,-0.0210,101.7312,1.0426
25600,347.3,28,Two-Stage Op-Amp Configuration,-73.7018,36.6,-0.0112,2122.6143,1.0367
26624,361.1,24,Two-Stage Op-Amp Configuration,-7.8667,42.7,-0.0090,58.5174,1.0389
27648,374.8,24,Two-Stage Op-Amp Configuration,-19.3134,42.7,-0.0156,153.4184,1.0361
28672,388.4,39,Two-Stage Op-Amp Configuration,-9.7444,26.3,-0.0158,128.4338,1.0290
29696,402.1,24,Two-Stage Op-Amp Configuration,-26.3139,42.7,-0.0120,531.4897,1.0295
30720,415.7,35,Two-Stage Op-Amp Configuration,-29.5894,29.3,-0.0087,1284.1169,1.0249
31744,429.2,22,Two-Stage Op-Amp Configuration,-45.0400,46.5,-0.0146,499.8843,1.0042
32768,443.1,33,Two-Stage Op-Amp Configuration,-18.4632,31.0,-0.0176,355.0569,1.0157
33792,456.7,28,Two-Stage Op-Amp Configuration,-34.4748,36.6,-0.0190,1027.5911,1.0105
34816,470.0,29,Two-Stage Op-Amp Configuration,-18.4784,35.3,-0.0074,137.4083,0.9537
35840,483.8,45,Two-Stage Op-Amp Configuration,-19.7724,22.8,-0.0134,1893.8014,0.9480
36864,497.8,39,Two-Stage Op-Amp Configuration,-16.3673,26.3,-0.0083,265.5571,0.9546
37888,511.7,27,Two-Stage Op-Amp Configuration,-13.0439,37.9,-0.0212,72.3462,0.9844
38912,525.4,38,Two-Stage Op-Amp Configuration,-5.0843,26.9,-0.0141,67.5375,0.9707
39936,539.3,41,Two-Stage Op-Amp Configuration,-8.5020,25.0,-0.0212,153.3837,0.9829
40960,554.6,25,Two-Stage Op-Amp Configuration,-58.7898,41.0,-0.0183,1275.2895,0.9668
41984,568.4,37,Two-Stage Op-Amp Configuration,-48.1358,27.7,-0.0155,2184.4303,0.9596
43008,582.2,34,Two-Stage Op-Amp Configuration,-41.0096,30.1,-0.0145,2268.4347,0.9691
44032,595.9,40,Two-Stage Op-Amp Configuration,-3.4474,25.6,-0.0131,83.3677,0.9663
45056,609.7,33,Two-Stage Op-Amp Configuration,-7.7644,31.0,-0.0065,89.2879,0.9735
46080,625.0,47,Two-Stage Op-Amp Configuration,-0.3438,21.8,-0.0062,114.4523,0.9432
47104,639.9,32,Two-Stage Op-Amp Configuration,-5.0456,32.0,-0.0113,98.8763,0.9577
48128,654.1,42,Two-Stage Op-Amp Configuration,-5.7351,24.4,-0.0149,146.4631,0.9522
49152,669.0,32,Two-Stage Op-Amp Configuration,-16.6116,32.0,-0.0129,203.6203,0.9522
50176,683.1,38,Two-Stage Op-Amp Configuration,-17.0685,26.9,-0.0163,286.4427,0.9508
51200,697.1,49,Two-Stage Op-Amp Configuration,-2.6871,20.9,-0.0112,78.8149,0.9381
52224,711.3,38,Two-Stage Op-Amp Configuration,-11.3654,26.9,-0.0122,94.3762,0.9551
53248,725.0,32,Two-Stage Op-Amp Configuration,-45.1760,32.0,-0.0094,2111.3821,0.9397
54272,738.8,48,Two-Stage Op-Amp Configuration,-1.5955,21.3,-0.0152,123.8161,0.9417
55296,752.5,39,Two-Stage Op-Amp Configuration,-6.3869,26.3,-0.0105,152.9238,0.9325
56320,766.1,38,Two-Stage Op-Amp Configuration,-14.3766,26.9,-0.0176,227.8496,0.9426
57344,780.1,58,Two-Stage Op-Amp Configuration,2.1707,17.7,-0.0110,63.9405,0.9358
