timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,33.3,14,Two-Stage Op-Amp Configuration,-76.1379,73.1,-0.0058,516.0993,1.0886
2048,63.9,17,Two-Stage Op-Amp Configuration,-89.6811,59.2,-0.0091,2725.5815,1.0894
3072,94.7,22,Two-Stage Op-Amp Configuration,-14.4344,46.5,0.0155,30.3667,1.0843
4096,126.6,17,Two-Stage Op-Amp Configuration,-36.7506,58.6,-0.0003,171.0152,1.0768
5120,155.7,20,Two-Stage Op-Amp Configuration,-31.5228,49.6,-0.0071,185.7284,1.0786
6144,185.3,18,Two-Stage Op-Amp Configuration,-14.8703,55.3,-0.0018,41.2954,1.0763
7168,215.0,14,Two-Stage Op-Amp Configuration,-150.4374,71.7,0.0054,3314.6966,1.0741
8192,244.6,15,Two-Stage Op-Amp Configuration,-85.5411,62.7,-0.0060,1014.4219,1.0712
9216,274.3,16,Two-Stage Op-Amp Configuration,-122.6923,59.4,-0.0072,3412.8571,1.0693
10240,301.4,21,Two-Stage Op-Amp Configuration,-19.7469,46.1,0.0079,70.1199,1.0658
11264,327.3,16,Two-Stage Op-Amp Configuration,-42.9225,64.0,0.0100,215.2065,1.0664
12288,356.3,14,Two-Stage Op-Amp Configuration,-25.4886,68.6,0.0004,49.6246,1.0662
13312,385.8,13,Two-Stage Op-Amp Configuration,-101.4155,74.3,-0.0054,616.0165,1.0612
14336,415.8,21,Two-Stage Op-Amp Configuration,-19.5275,47.1,-0.0006,123.7441,1.0618
15360,445.7,22,Two-Stage Op-Amp Configuration,-16.3837,42.7,-0.0098,88.5817,1.0587
16384,475.5,21,Two-Stage Op-Amp Configuration,-24.2814,48.0,-0.0066,119.7621,1.0568
17408,505.5,15,Two-Stage Op-Amp Configuration,-123.7930,66.2,-0.0002,3339.0255,1.0564
18432,534.6,17,Two-Stage Op-Amp Configuration,-42.6282,56.6,-0.0081,275.4266,1.0523
19456,565.1,30,Two-Stage Op-Amp Configuration,-1.1353,33.0,-0.0092,44.6764,1.0600
20480,593.9,35,Two-Stage Op-Amp Configuration,0.2330,26.7,-0.0067,46.7359,1.0558
21504,623.8,30,Two-Stage Op-Amp Configuration,-26.2470,31.8,-0.0008,659.6340,1.0534
22528,652.0,24,Two-Stage Op-Amp Configuration,-8.5403,40.2,-0.0035,41.4698,1.0548
23552,680.8,21,Two-Stage Op-Amp Configuration,-37.7834,46.6,0.0231,559.3707,1.0531
24576,708.1,25,Two-Stage Op-Amp Configuration,-9.7760,39.7,-0.0053,57.7782,1.0514
25600,737.3,20,Two-Stage Op-Amp Configuration,-63.7859,49.5,-0.0081,2285.4037,1.0407
26624,766.6,25,Two-Stage Op-Amp Configuration,-21.6819,40.0,-0.0098,378.6452,1.0236
27648,795.7,19,Two-Stage Op-Amp Configuration,-27.0200,53.0,0.0124,244.4745,1.0376
28672,825.0,21,Two-Stage Op-Amp Configuration,-8.8781,44.6,-0.0005,52.4884,1.0331
29696,854.5,22,Two-Stage Op-Amp Configuration,-33.1950,43.4,-0.0052,429.4203,1.0234
30720,883.7,21,Two-Stage Op-Amp Configuration,-20.0672,48.7,-0.0087,46.5700,1.0248
31744,911.7,21,Two-Stage Op-Amp Configuration,-101.9086,44.5,-0.0014,3764.8678,1.0168
32768,937.4,19,Two-Stage Op-Amp Configuration,-49.3528,53.1,-0.0132,537.5012,1.0204
33792,962.1,18,Two-Stage Op-Amp Configuration,-90.1058,55.4,-0.0071,2340.7765,1.0159
34816,987.3,23,Two-Stage Op-Amp Configuration,-33.6729,42.9,-0.0071,186.7574,1.0063
35840,1012.4,20,Two-Stage Op-Amp Configuration,-14.4059,47.8,-0.0059,70.0334,1.0228
36864,1037.3,18,Two-Stage Op-Amp Configuration,-35.0000,56.6,-0.0086,156.1220,1.0183
37888,1062.4,33,Two-Stage Op-Amp Configuration,-4.4181,30.5,-0.0020,48.9831,1.0263
38912,1087.2,18,Two-Stage Op-Amp Configuration,-31.4391,56.4,0.0069,73.8248,1.0117
39936,1112.5,28,Two-Stage Op-Amp Configuration,-21.8780,34.9,-0.0032,182.6169,1.0092
40960,1137.6,29,Two-Stage Op-Amp Configuration,-22.9349,32.4,-0.0106,244.0968,1.0005
41984,1162.6,31,Two-Stage Op-Amp Configuration,-11.0062,32.1,-0.0124,57.9672,0.9988
43008,1187.8,37,Two-Stage Op-Amp Configuration,-12.7963,26.4,-0.0042,159.0654,1.0016
44032,1213.1,36,Two-Stage Op-Amp Configuration,-6.6336,26.4,-0.0114,133.6513,1.0078
45056,1238.6,32,Two-Stage Op-Amp Configuration,-22.2765,29.5,-0.0094,161.7918,0.9935
46080,1265.0,31,Two-Stage Op-Amp Configuration,-32.2951,30.4,-0.0088,1736.4174,0.9880
47104,1292.6,36,Two-Stage Op-Amp Configuration,-18.4466,27.1,0.0011,518.5811,0.9846
48128,1320.9,36,Two-Stage Op-Amp Configuration,-2.9913,28.3,0.0104,51.5753,0.9912
49152,1349.1,27,Two-Stage Op-Amp Configuration,-13.5101,37.6,-0.0058,101.1959,0.9852
50176,1376.0,31,Two-Stage Op-Amp Configuration,-19.1840,32.2,-0.0031,485.7263,0.9771
51200,1399.2,21,Two-Stage Op-Amp Configuration,-27.3615,46.2,-0.0083,166.5017,0.9750
