timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,31.8,21,Two-Stage Op-Amp Configuration,-46.3062,46.6,0.0018,400.4325,1.5952
2048,63.5,24,Two-Stage Op-Amp Configuration,-24.9182,41.3,-0.0127,208.1950,1.5954
3072,95.8,45,Two-Stage Op-Amp Configuration,-6.4479,22.1,-0.0046,125.5469,1.5958
4096,124.7,33,Two-Stage Op-Amp Configuration,-13.5733,30.9,-0.0005,240.0873,1.5902
5120,152.7,32,Two-Stage Op-Amp Configuration,-30.5509,30.2,-0.0015,674.1040,1.5875
6144,180.4,31,Two-Stage Op-Amp Configuration,-9.4787,30.4,0.0105,90.3383,1.5834
7168,209.8,26,Two-Stage Op-Amp Configuration,-27.9631,38.9,-0.0063,750.0824,1.5791
8192,238.6,47,Two-Stage Op-Amp Configuration,-3.3767,21.3,-0.0096,141.6847,1.5763
9216,266.9,39,Two-Stage Op-Amp Configuration,-1.4123,24.9,-0.0124,83.2119,1.5741
10240,295.6,44,Two-Stage Op-Amp Configuration,-9.4269,23.0,-0.0148,267.3472,1.5660
11264,324.6,54,Two-Stage Op-Amp Configuration,1.4202,19.0,-0.0068,83.3183,1.5621
12288,352.8,73,Two-Stage Op-Amp Configuration,3.9744,13.8,0.0169,74.9461,1.5629
13312,380.8,55,Two-Stage Op-Amp Configuration,-3.2108,18.3,-0.0011,489.0038,1.5600
14336,408.5,66,Two-Stage Op-Amp Configuration,0.5671,15.2,-0.0084,117.6006,1.5587
15360,436.9,68,Two-Stage Op-Amp Configuration,-3.3059,15.0,-0.0072,312.5479,1.5606
16384,465.1,63,Two-Stage Op-Amp Configuration,-2.9448,16.0,-0.0190,216.7751,1.5590
17408,493.6,61,Two-Stage Op-Amp Configuration,3.2874,15.4,0.0005,32.1403,1.5579
18432,520.5,74,Two-Stage Op-Amp Configuration,3.8953,13.6,-0.0214,29.5881,1.5612
19456,548.3,92,Two-Stage Op-Amp Configuration,3.7118,10.8,-0.0146,85.2630,1.5548
20480,579.0,109,Two-Stage Op-Amp Configuration,4.3380,9.3,-0.0009,64.3656,1.5607
