timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,27.2,15,Two-Stage Op-Amp Configuration,-65.1563,66.9,0.0091,372.1619,1.5961
2048,53.8,17,Two-Stage Op-Amp Configuration,-56.6270,54.5,-0.0096,1027.8271,1.5978
3072,80.1,30,Two-Stage Op-Amp Configuration,-7.9987,34.0,0.0067,53.9421,1.5937
4096,106.5,27,Two-Stage Op-Amp Configuration,-16.8277,34.5,-0.0060,156.4511,1.5903
5120,132.7,20,Two-Stage Op-Amp Configuration,-15.8412,50.9,-0.0075,45.6910,1.5810
6144,158.7,14,Two-Stage Op-Amp Configuration,-94.6050,67.5,0.0036,1155.9319,1.5803
7168,184.8,25,Two-Stage Op-Amp Configuration,-39.1404,39.4,-0.0042,594.1969,1.5773
8192,211.2,22,Two-Stage Op-Amp Configuration,-15.2148,43.5,0.0039,68.4873,1.5700
9216,237.9,25,Two-Stage Op-Amp Configuration,-32.2538,39.5,-0.0074,652.2035,1.5756
10240,263.8,14,Two-Stage Op-Amp Configuration,-22.2884,66.4,-0.0022,37.3890,1.5780
11264,290.1,24,Two-Stage Op-Amp Configuration,-17.8529,39.0,-0.0049,119.8761,1.5718
12288,316.4,30,Two-Stage Op-Amp Configuration,-8.0078,33.4,0.0028,84.8063,1.5720
13312,342.8,30,Two-Stage Op-Amp Configuration,-5.9646,31.8,0.0056,93.7408,1.5741
14336,371.0,27,Two-Stage Op-Amp Configuration,-30.9656,37.3,0.0066,311.0751,1.5684
15360,397.1,33,Two-Stage Op-Amp Configuration,-3.3178,28.3,-0.0134,34.0124,1.5695
16384,422.6,37,Two-Stage Op-Amp Configuration,-10.1552,27.5,-0.0042,348.2895,1.5725
17408,449.0,39,Two-Stage Op-Amp Configuration,-0.3551,26.0,0.0130,33.1473,1.5777
18432,474.8,29,Two-Stage Op-Amp Configuration,-27.2791,33.7,0.0473,676.4892,1.5637
19456,500.0,26,Two-Stage Op-Amp Configuration,-6.0184,36.6,-0.0106,32.9504,1.5673
20480,525.7,33,Two-Stage Op-Amp Configuration,-22.8883,28.3,0.0562,1152.9782,1.5531
21504,550.9,35,Two-Stage Op-Amp Configuration,-14.0756,28.2,0.0375,496.4844,1.5619
22528,578.1,30,Two-Stage Op-Amp Configuration,-9.7879,33.7,-0.0070,120.6055,1.5619
23552,604.6,29,Two-Stage Op-Amp Configuration,-7.2045,33.9,0.0167,82.3866,1.5664
24576,631.1,31,Two-Stage Op-Amp Configuration,-17.7412,31.2,-0.0007,291.3208,1.5652
25600,657.3,26,Two-Stage Op-Amp Configuration,-28.1663,38.7,0.0026,222.0917,1.5609
26624,683.7,40,Two-Stage Op-Amp Configuration,-4.5604,25.1,-0.0063,72.9366,1.5606
27648,709.3,27,Two-Stage Op-Amp Configuration,-12.1438,37.9,-0.0054,61.0460,1.5494
28672,735.2,44,Two-Stage Op-Amp Configuration,-0.6204,22.7,-0.0107,48.8253,1.5593
29696,760.6,40,Two-Stage Op-Amp Configuration,-2.4197,24.9,0.0200,56.8305,1.5642
30720,786.5,42,Two-Stage Op-Amp Configuration,-4.4249,22.9,-0.0135,65.8835,1.5521
31744,812.0,50,Two-Stage Op-Amp Configuration,-1.9182,19.9,-0.0124,84.5212,1.5554
32768,837.1,45,Two-Stage Op-Amp Configuration,0.9031,22.2,-0.0138,28.1989,1.5684
33792,862.0,40,Two-Stage Op-Amp Configuration,-3.9587,23.7,0.0054,62.3282,1.5564
34816,887.0,48,Two-Stage Op-Amp Configuration,-5.6137,21.3,-0.0091,221.7936,1.5656
35840,917.0,45,Two-Stage Op-Amp Configuration,2.4059,21.1,-0.0040,31.8927,1.5581
36864,941.6,34,Two-Stage Op-Amp Configuration,-7.1343,30.1,-0.0047,34.2509,1.5278
37888,966.1,33,Two-Stage Op-Amp Configuration,-3.3867,30.9,-0.0111,25.5345,1.5343
38912,991.1,40,Two-Stage Op-Amp Configuration,-0.7291,25.0,0.0164,27.6621,1.5326
39936,1016.5,33,Two-Stage Op-Amp Configuration,-5.2371,28.1,-0.0151,40.3105,1.5220
40960,1041.5,25,Two-Stage Op-Amp Configuration,-13.9360,38.7,-0.0021,67.7015,1.5229
41984,1067.0,38,Two-Stage Op-Amp Configuration,-2.7161,25.1,-0.0018,38.0372,1.5239
43008,1092.3,46,Two-Stage Op-Amp Configuration,-3.7597,22.3,0.0049,89.6344,1.5300
44032,1117.9,49,Two-Stage Op-Amp Configuration,-0.6066,20.4,-0.0086,68.8842,1.5299
45056,1143.1,57,Two-Stage Op-Amp Configuration,-8.1024,16.8,0.0067,848.8023,1.5277
46080,1167.9,39,Two-Stage Op-Amp Configuration,-1.9749,24.2,-0.0201,30.0805,1.5100
47104,1193.2,71,Two-Stage Op-Amp Configuration,4.8574,14.1,-0.0138,26.8389,1.5146
48128,1218.2,59,Two-Stage Op-Amp Configuration,-1.4803,17.3,-0.0089,137.1313,1.5079
49152,1243.3,62,Two-Stage Op-Amp Configuration,-1.1570,16.1,-0.0131,92.3644,1.5068
