timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,13.8,14,Two-Stage Op-Amp Configuration,-76.1379,73.1,-0.0058,516.0994,1.0886
2048,27.5,17,Two-Stage Op-Amp Configuration,-89.6811,59.2,-0.0091,2725.5815,1.0894
3072,41.1,22,Two-Stage Op-Amp Configuration,-14.4344,46.5,0.0155,30.3667,1.0843
4096,54.7,17,Two-Stage Op-Amp Configuration,-36.7506,58.6,-0.0003,171.0151,1.0768
5120,68.4,20,Two-Stage Op-Amp Configuration,-31.5228,49.6,-0.0071,185.7284,1.0786
6144,81.9,18,Two-Stage Op-Amp Configuration,-14.8703,55.3,-0.0018,41.2954,1.0763
7168,95.6,14,Two-Stage Op-Amp Configuration,-150.4374,71.7,0.0054,3314.6964,1.0741
8192,109.3,15,Two-Stage Op-Amp Configuration,-85.5411,62.7,-0.0060,1014.4218,1.0712
9216,123.0,16,Two-Stage Op-Amp Configuration,-122.6923,59.4,-0.0072,3412.8567,1.0693
10240,136.7,21,Two-Stage Op-Amp Configuration,-19.7469,46.1,0.0079,70.1199,1.0658
11264,150.3,16,Two-Stage Op-Amp Configuration,-42.9225,64.0,0.0100,215.2065,1.0664
12288,164.0,14,Two-Stage Op-Amp Configuration,-25.4886,68.6,0.0004,49.6246,1.0662
13312,178.4,13,Two-Stage Op-Amp Configuration,-101.6052,74.3,-0.0052,616.5032,1.0612
14336,192.3,21,Two-Stage Op-Amp Configuration,-19.4662,47.1,-0.0091,124.6212,1.0621
15360,206.0,22,Two-Stage Op-Amp Configuration,-15.9049,42.6,-0.0119,87.0580,1.0611
16384,219.6,21,Two-Stage Op-Amp Configuration,-23.9153,48.0,-0.0041,111.9079,1.0594
17408,233.5,15,Two-Stage Op-Amp Configuration,-128.3884,65.8,0.0011,3746.4234,1.0590
18432,247.2,16,Two-Stage Op-Amp Configuration,-43.4521,59.9,-0.0092,157.3936,1.0554
19456,261.1,31,Two-Stage Op-Amp Configuration,-13.5278,32.9,-0.0061,320.0702,1.0535
20480,276.4,35,Two-Stage Op-Amp Configuration,0.3304,27.4,-0.0135,68.8315,1.0513
21504,292.9,29,Two-Stage Op-Amp Configuration,-23.8768,34.0,-0.0103,551.7820,1.0517
22528,310.2,22,Two-Stage Op-Amp Configuration,-11.7703,45.9,-0.0067,31.4781,1.0476
23552,329.9,23,Two-Stage Op-Amp Configuration,-10.5629,43.1,0.0042,156.8573,1.0398
24576,350.5,27,Two-Stage Op-Amp Configuration,-7.8687,36.4,-0.0090,53.0720,1.0314
25600,373.3,21,Two-Stage Op-Amp Configuration,-58.6544,48.8,-0.0073,2045.4034,1.0256
26624,395.7,27,Two-Stage Op-Amp Configuration,-47.8356,35.3,-0.0056,1549.7227,1.0151
27648,417.1,22,Two-Stage Op-Amp Configuration,-19.7040,45.0,-0.0036,301.7673,1.0186
28672,437.3,25,Two-Stage Op-Amp Configuration,-19.7759,40.4,0.0056,257.0286,1.0170
29696,458.5,24,Two-Stage Op-Amp Configuration,-13.1567,40.9,-0.0031,80.3726,1.0134
30720,477.9,24,Two-Stage Op-Amp Configuration,-75.4156,42.2,0.0116,2502.5005,1.0134
31744,497.1,22,Two-Stage Op-Amp Configuration,-28.6287,44.9,-0.0122,259.4662,1.0144
32768,516.5,20,Two-Stage Op-Amp Configuration,-70.7039,48.0,-0.0069,1834.2276,1.0055
33792,1322.8,31,Two-Stage Op-Amp Configuration,-19.1493,32.4,-0.0109,177.0261,1.0029
34816,1343.5,23,Two-Stage Op-Amp Configuration,-14.7397,44.2,-0.0009,85.7899,1.0022
35840,1362.0,34,Two-Stage Op-Amp Configuration,-1.9952,29.2,-0.0008,35.5686,0.9980
36864,1380.3,33,Two-Stage Op-Amp Configuration,-5.8835,31.0,0.0129,71.9399,0.9980
37888,1398.7,29,Two-Stage Op-Amp Configuration,-13.1402,32.3,-0.0085,73.5939,0.9800
38912,1417.4,39,Two-Stage Op-Amp Configuration,-6.9484,25.9,-0.0096,47.0186,0.9834
39936,1436.1,41,Two-Stage Op-Amp Configuration,-4.5447,24.5,-0.0110,53.0037,0.9808
40960,1454.8,44,Two-Stage Op-Amp Configuration,-1.8785,22.7,-0.0075,88.8489,0.9706
41984,1473.4,42,Two-Stage Op-Amp Configuration,-6.2789,24.1,0.0028,45.1019,0.9750
