timestep,elapsed,episodes,circuit,mean_reward,mean_len,policy_loss,value_loss,entropy
1024,14.0,15,Two-Stage Op-Amp Configuration,-109.9701,64.4,0.0168,1477.4300,1.0892
2048,28.1,23,Two-Stage Op-Amp Configuration,-25.2095,43.9,0.0003,238.7255,1.0916
3072,42.0,14,Two-Stage Op-Amp Configuration,-61.4785,71.1,-0.0086,607.1216,1.0936
4096,56.2,22,Two-Stage Op-Amp Configuration,-18.0127,45.4,-0.0007,60.2447,1.0921
5120,70.2,19,Two-Stage Op-Amp Configuration,-61.3425,49.9,-0.0019,1287.3896,1.0933
6144,84.4,20,Two-Stage Op-Amp Configuration,-12.7014,50.7,0.0175,39.7875,1.0875
7168,98.5,14,Two-Stage Op-Amp Configuration,-60.6274,71.7,-0.0030,400.4030,1.0854
8192,112.6,18,Two-Stage Op-Amp Configuration,-20.4085,56.0,0.0078,38.4573,1.0840
9216,126.6,17,Two-Stage Op-Amp Configuration,-69.8403,58.8,0.0171,661.4113,1.0796
10240,140.9,13,Two-Stage Op-Amp Configuration,-49.9128,74.3,0.0001,152.9781,1.0767
11264,154.9,21,Two-Stage Op-Amp Configuration,-79.8409,44.5,-0.0033,3190.4021,1.0721
12288,169.0,22,Two-Stage Op-Amp Configuration,-10.1863,45.0,-0.0082,81.8254,1.0724
13312,183.0,15,Two-Stage Op-Amp Configuration,-95.5790,63.1,0.0012,1945.7715,1.0689
14336,197.3,27,Two-Stage Op-Amp Configuration,-22.6330,35.7,-0.0038,211.5363,1.0646
15360,211.6,15,Two-Stage Op-Amp Configuration,-33.4939,67.0,-0.0012,50.2667,1.0659
16384,225.6,15,Two-Stage Op-Amp Configuration,-51.9818,62.5,-0.0126,262.6198,1.0655
17408,239.7,18,Two-Stage Op-Amp Configuration,-36.4194,51.9,-0.0040,386.1899,1.0589
18432,254.2,18,Two-Stage Op-Amp Configuration,-42.2552,52.3,-0.0114,500.9206,1.0601
19456,268.8,15,Two-Stage Op-Amp Configuration,-31.9347,65.1,-0.0128,211.8125,1.0563
20480,282.8,18,Two-Stage Op-Amp Configuration,-15.0840,53.9,-0.0011,63.4073,1.0558
21504,297.1,25,Two-Stage Op-Amp Configuration,-9.6911,39.2,-0.0098,185.5570,1.0516
22528,311.4,21,Two-Stage Op-Amp Configuration,-12.5221,45.4,-0.0044,785.6423,1.0458
23552,326.3,29,Two-Stage Op-Amp Configuration,-24.0457,34.8,-0.0079,347.7949,1.0369
24576,340.4,17,Two-Stage Op-Amp Configuration,-24.3791,55.1,0.0049,98.1101,1.0401
25600,354.5,26,Two-Stage Op-Amp Configuration,-48.5726,38.4,-0.0049,1058.7570,1.0350
26624,368.5,27,Two-Stage Op-Amp Configuration,-25.1393,37.4,-0.0072,636.0578,1.0401
27648,382.5,20,Two-Stage Op-Amp Configuration,-14.5686,50.6,0.0096,35.1776,1.0457
28672,396.6,37,Two-Stage Op-Amp Configuration,-7.2204,26.3,-0.0063,119.2100,1.0369
29696,410.9,31,Two-Stage Op-Amp Configuration,-17.1416,33.0,-0.0040,191.3853,1.0341
30720,424.8,23,Two-Stage Op-Amp Configuration,-36.0333,41.7,-0.0165,1000.9800,1.0371
31744,438.9,26,Two-Stage Op-Amp Configuration,-13.3626,37.4,-0.0068,79.6978,1.0358
32768,453.0,25,Two-Stage Op-Amp Configuration,-61.9084,40.6,0.0123,1255.2690,1.0187
33792,466.9,30,Two-Stage Op-Amp Configuration,-31.4035,33.6,-0.0189,891.2279,1.0237
34816,480.9,21,Two-Stage Op-Amp Configuration,-19.5565,46.5,0.0070,38.3872,1.0187
35840,495.0,31,Two-Stage Op-Amp Configuration,-9.8600,32.7,0.0007,69.0313,1.0252
36864,509.5,43,Two-Stage Op-Amp Configuration,-16.1716,23.8,0.0063,945.7028,1.0168
37888,523.6,36,Two-Stage Op-Amp Configuration,-12.0555,28.0,0.0078,177.0559,1.0114
38912,537.3,22,Two-Stage Op-Amp Configuration,-15.4768,46.1,-0.0021,33.9557,1.0172
39936,550.6,26,Two-Stage Op-Amp Configuration,-10.8508,39.1,0.0115,28.5079,1.0124
40960,564.3,40,Two-Stage Op-Amp Configuration,-4.2620,25.1,-0.0038,61.1158,1.0025
41984,578.1,25,Two-Stage Op-Amp Configuration,-14.3030,39.5,-0.0140,50.3596,0.9963
43008,591.9,28,Two-Stage Op-Amp Configuration,-31.7323,36.6,-0.0052,565.3493,0.9857
44032,605.8,35,Two-Stage Op-Amp Configuration,-50.9731,27.5,-0.0029,1658.8487,0.9862
45056,619.2,29,Two-Stage Op-Amp Configuration,-4.9243,34.5,0.0048,32.8604,0.9867
46080,633.3,39,Two-Stage Op-Amp Configuration,-1.1293,25.7,0.0015,20.8463,0.9714
47104,647.4,39,Two-Stage Op-Amp Configuration,-5.1600,24.9,-0.0031,131.2394,0.9829
48128,661.8,40,Two-Stage Op-Amp Configuration,-0.3163,25.5,0.0140,31.1408,0.9785
49152,675.8,41,Two-Stage Op-Amp Configuration,-3.5298,24.7,-0.0058,80.5293,0.9799
50176,689.3,30,Two-Stage Op-Amp Configuration,-18.5674,34.1,0.0043,190.3475,0.9770
51200,702.6,29,Two-Stage Op-Amp Configuration,-12.0944,33.7,-0.0032,40.2357,0.9646
52224,716.3,47,Two-Stage Op-Amp Configuration,-5.0350,21.2,0.0044,70.0205,0.9649
53248,729.8,49,Two-Stage Op-Amp Configuration,-1.1791,19.6,-0.0084,62.2752,0.9561
54272,743.1,30,Two-Stage Op-Amp Configuration,-34.9938,33.5,0.0295,527.2003,0.9538
55296,756.8,46,Two-Stage Op-Amp Configuration,-3.2750,21.8,0.0096,80.3279,0.9613
56320,770.5,40,Two-Stage Op-Amp Configuration,-2.1411,25.4,0.0006,19.4878,0.9641
57344,784.0,35,Two-Stage Op-Amp Configuration,-4.4082,29.1,0.0061,15.3225,0.9576
58368,797.7,48,Two-Stage Op-Amp Configuration,-9.4027,21.2,0.0042,382.5158,0.9325
59392,811.6,50,Two-Stage Op-Amp Configuration,2.1421,18.7,-0.0032,19.4701,0.9340
60416,825.5,59,Two-Stage Op-Amp Configuration,1.4770,17.3,0.0376,29.3943,0.9381
61440,839.1,38,Two-Stage Op-Amp Configuration,-4.4901,26.3,-0.0013,36.5954,0.9276
62464,852.6,37,Two-Stage Op-Amp Configuration,-1.3167,27.0,-0.0036,16.8905,0.9278
63488,866.2,43,Two-Stage Op-Amp Configuration,1.2716,23.1,0.0061,14.1985,0.9144
64512,879.9,52,Two-Stage Op-Amp Configuration,-5.1804,18.8,0.0076,190.0832,0.9214
65536,893.6,47,Two-Stage Op-Amp Configuration,-2.7926,21.8,-0.0083,35.2634,0.9122
66560,907.4,58,Two-Stage Op-Amp Configuration,3.7655,16.3,0.0093,12.3640,0.9070
67584,920.9,44,Two-Stage Op-Amp Configuration,-12.5523,22.1,-0.0006,293.8297,0.9049
68608,934.4,32,Two-Stage Op-Amp Configuration,-15.6378,29.4,-0.0063,190.6885,0.8953
69632,948.2,49,Two-Stage Op-Amp Configuration,-6.9506,20.1,-0.0037,82.4733,0.9175
70656,961.9,42,Two-Stage Op-Amp Configuration,-0.9373,24.2,0.0001,13.0934,0.8894
71680,975.5,43,Two-Stage Op-Amp Configuration,-2.0993,23.1,-0.0102,9.9298,0.8661
72704,989.3,41,Two-Stage Op-Amp Configuration,-10.0300,24.4,0.0009,221.3663,0.8644
73728,1003.1,46,Two-Stage Op-Amp Configuration,-6.5928,22.3,0.0013,327.2920,0.8587
74752,1016.9,51,Two-Stage Op-Amp Configuration,-6.6472,19.5,0.0037,317.0080,0.8614
75776,1030.5,33,Two-Stage Op-Amp Configuration,-7.3159,31.0,-0.0051,22.9603,0.8483
